입찰공고명,공고기관명,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체주소
(23G250-I) 분석관리체계 금융리스,제20전투비행단,,85.182,2022-02-10,근영유통,최용석,김서연,"서울특별시 금천구 가산디지털1로30,1712호 (가산동,에이스하이엔드타워10차)"
함정구조해석용 모델링 DB 개발 연구(2019H038-E),국군화생방방호사령부,320143930.0,,2017-01-11,주식회사 굿컨설팅그룹,노광현,,서울특별시 강남구 논현로189길6 (압구정동)
무인수상정 탑재운용 군 요구조건 도출 연구용역,국군의무사령부,87247403.0,,2016-01-19,(사)한국전략문제연구소,전건욱,,
산소분석기 1종,제7821부대,512621222.0,93.737,2022-01-03,미성종합체육산업 주식회사,추광식,박계향,부산광역시 강서구 대저중앙로341-0 (대저1동)
(216328-C) 지형분석장비 교체사업(리스물건),국군재정관리단,27975435.0,94.537,2021-12-04,서울대학교 산학협력단,김재영,윤진영,"경기도 화성시 동탄첨단산업1로27 (영천동, 금강 펜테리움아이엑스타워) A동1708,1709호"
(21F094-K)'22년~'23년 분석용모델(3종) 유지보수,합동참모본부,336567061.0,86.992,2021-07-06,,,,
레이저대공무기사업 선행연구 및 운용요구서 연구,국군재정관리단,,,2016-01-06,,,김미희,
잔류강도 해석기법 연구(2019H039-A),방위사업청(운영지원과),,87.946,2020-12-12,서울대학교 산학협력단,홍영기,김령은,서울특별시 관악구 관악로1 (신림동)
23-OO방호시설 개선 연구용역,제2879부대,194433968.0,95.535,2019-09-25,씨지에스아이티(주),김병석,김형민,"경기도 군포시 번영로514, 601호(금정동)"
해안감시레이더-Ⅱ 사업분석,국군재정관리단,30698145.0,92.024,2023-03-10,이매니지먼트(주),김한희,이성표,"대전광역시 유성구 대학로 27, 현대리조텔 2층(봉명동)"
주요 선진국의 획득제도 사례분석을 통한 시사점 연구,방위사업청(운영지원과),34565218.0,73.299,2017-11-17,,,,
K21 4차 양산사업 시설사업기본계획 연구용역,한미연합군사령부,102599024.0,,,,,,
(207180-H)스펙트럼측정/분석장비 노후교체,합동군사대학교,,,2020-01-18,행복한 일 연구소,오세문,박병희,부산광역시 동구 고관로62 (초량동)
12.정책현안연구(북한의전쟁수행...),육군본부,115304802.0,,,주식회사 처음헌법연구소,이홍민,이재평,"전라북도 군산시 임피면 호원대3길 64,"
22-1차 연구장비 구매 계약 - 증기후드,국군재정관리단,105193284.0,86.697,2019-06-14,(주)에프오알엠도시건축공간연구소,류장수,정운찬,"서울특별시 금천구 가산디지털2로184, 10층 1017호(가산동, 벽산디지털밸리2차)"
22-5차 연구장비 구매 계약 - 원심분리기 소형탁상용,제3훈련비행단,326880186.0,,2020-04-03,라온시스템즈(주),김한희,노민택,"부산광역시 수영구 구락로23, 2층 (수영동)"
무인기술을 적용한 현용전력 극대화 방안 연구,한미연합군사령부,6877210.0,,,,,,
한국형 임무형 지휘와 리더십 관계 정립 연구용역,공군군수사령부,,89.265,2017-07-09,,,,
안전하고 신뢰할 수 있는 AI활용 국방가이드라인 연구,국군재정관리단,274856916.0,92.895,2020-11-23,,,문영옥,
(226320-B) 지형분석장비 교체(리스물건),합동참모본부,,,2024-10-20,디에이전,김준식,박장권,"서울특별시 금천구 디지털로9길68, 제1806호(가산동, 대륭포스트타워5차)"
23년 기술연구용역 계약 의뢰(4),육군본부,,76.706,2018-10-14,,,,
작전지휘시설 신축 분석평가 및 선행연구용역,제9691부대,153348139.0,89.081,2018-01-02,(주)에프오알엠도시건축공간연구소,,주진형,"경기도 성남시 분당구 구미로8, 2층(구미동, 엠타워)"
12.정책현안연구(북한의전쟁수행...),방위사업청(운영지원과),,91.216,2020-07-03,(주)리서치코리아,강길영,김보경,"경기도 의왕시 오봉산단3로25, 1동 303호(삼동, 의왕테크노파크더리브비즈원)"
미래 육군 여군인력 활용성 제고방안 연구,국군재정관리단,32828342.0,92.2,,주식회사 녹십자이엠,주양효,임창욱,"서울특별시 금천구 가산디지털2로34, 923호(가산동, G밸리 더리브 스마트타워)"
22-해상기반 우주발사체계 개념 연구,육군본부,148673317.0,,2024-05-20,서우컴퍼니,이희윤,정경아,"서울특별시 영등포구 당산로41길11, W동 비133호, 제15층 1511호,1512호(당산동4가, 당산 SK V1 center)"
급식유통센터 성과분석 및 (경남권)필요성 연구,육군본부,10941422.0,95.051,2019-09-21,,,,
특수작전용대형기동헬기 시설사업기본계획 연구용역,국군재정관리단,29255795.0,,,,권시형,최재우,
전술환경 下 효율적 이동통신체계 운용방안 연구용역,국방부(운영지원과),553570.0,,2019-05-28,,,,
(246248-C) 모바일기기 증거분석 교체(HW)(리스자산),국군재정관리단,91170476.0,67.089,,주식회사 해피트리,신범수,유진경,"전라남도 장성군 황룡면 강변로452-16, 3층 302호"
신호분석기 1대 구매,육군교육사령부,572003532.0,79.738,2022-09-02,주식회사 웨이브텍,고윤안,이상규,서울특별시 성북구 삼선교로16길116-0 (삼선동2가)
20-MTU엔진 PBL 비용대효과분석 및 성과지표 연구,국군재정관리단,20601408.0,,,(사)21세기군사연구소,홍영기,구종우,서울특별시 서초구 서초동1432-13 202
항공전투 시뮬레이션 대회 대행 용역,국방지형정보단,895212091.0,,2018-01-09,,,,
병력책정 기준연구(비행대대 조직구조 개선방안),육군교육사령부,162156393.0,81.003,2018-12-23,,,,
현역-초기대응  예비군-전쟁승리 개념연구 용역,방위사업청(운영지원과),,,2019-07-20,,,,
분석기 구매,방위사업청(운영지원과),45376130.0,89.91,,성도교역,송영호,최승룡,"서울특별시 용산구 이태원로211, 611호(한남동, 한남빌딩 )"
(216032-G) 차륜형장갑차 센서데이터 수집 분석체계,국군재정관리단,,,2020-04-11,은성세미,이희윤,김재영,"경상남도 창원시 마산합포구 해안대로91, 상가 205호(해운동, 경민시티빌)"
범국민 안보의식조사 연구용역,지상작전사령부,166301521.0,82.877,2019-03-02,사단법인 안보경영연구원,김형철,,"서울특별시 강남구 언주로527, 10층 (역삼동)"
21-공-회로분석기 구매,제2879부대,206971756.0,,2021-03-11,주식회사 파이안,이희석,김해리,"서울특별시 중구 동호로7길41, 2층(신당동)"
조종사 피로도와 안전비행의 역학관계 분석 연구용역,국군재정관리단,63438669.0,,2021-08-09,(사)한국전략문제연구소,,,"서울특별시 강남구 언주로527, 10층 (역삼동)"
리더십코칭 효과성 평가에 관한 연구용역,방위사업청(운영지원과),,80.16,,정호정보통신,김명운,이민재,"서울특별시 서초구 방배천로155, 유청빌딩 3층(방배동 821-8)"
23-8차 조달 연구장비(초음파수술기 등 4종) 구매,방위사업청(운영지원과),,,,영현정보통신(주),고기종,허정성,"서울특별시 영등포구 양평로149-0, 1106호 (양평동5가)"
2019 서울안보대화 프로그램 기획 및 발전방향 연구,국군재정관리단,47967958.0,,2018-08-05,,,박계향,
방산수출을 위한 DFAR(美 국방조달규정) 번역 및 연구,제6619부대,241602064.0,75.553,,사단법인 한국국가전략연구원,차진섭,,"전라북도 군산시 임피면 호원대3길 64,"
디지털 정비공장 스마트팩토리 구축방안 연구 용역,육군군수사령부,91570659.0,84.081,2019-09-07,상명대학교산학협력단,,이서현,서울특별시 관악구 관악로1 (신림동)
국방정책연구과제 연구용역 계약,국방부(운영지원과),65987254.0,96.243,2020-09-05,,,,
20-효율적인 성능개량 방안 도출 연구,공군군수사령부,401909717.0,82.074,,,,,
전력지원체계OMS/MP및RAM분석/LSA적용방안연구,육군교육사령부,226257309.0,78.932,,(주)조은아이앤에스,김운용,조대현,"서울특별시 금천구 가산디지털1로1-0 (가산동, 더루벤스밸리) 1208호"
동원위주 부대 기계화 장비 개편시 효율성 분석 연구,국군재정관리단,215973813.0,89.248,2017-02-11,,김진욱,이한솔,"서울특별시 송파구 법원로11길25-0, A동 1310호(문정동, 에이치비즈니스파크)"
공지통신무전기 성능개량 사업분석,방위사업청,111824790.0,102.658,2023-03-03,,,,
물증류기  분석용 순수제조기 구매 설치,육군교육사령부,,97.945,2024-09-29,유한회사 엔디클릭,이숙영,두진욱,서울특별시 서초구 서초대로19길10-11 (방배동) 2층
18-효과적인 정보수집함 운용방안 개념연구,제9227부대,,,2018-06-18,라온시스템즈(주),조경호,김태훈,"광주광역시 서구 상무중앙로110-0 (치평동, 광주보험회관)"
18-해군C4I체계 발전을 위한 연구,국방부(운영지원과),135542770.0,97.239,,,,,
중금속 가열분석기 등 1항목 구매(의무),국방부,176832455.0,99.579,2022-02-06,(사)21세기군사연구소,유훈,,
안보학술진흥연구용역(3.국내안보환경분석또는),국군재정관리단,343883356.0,,,제이에스씨 코퍼레이션,박홍련,,경상북도 경주시 동대로 123(석장동)
軍 태양광 시범사업 효과 분석평가 용역,해군군수사령부,,87.107,,주식회사백운,현영림,이병훈,경기도 남양주시 별내면 용암비루개길140-0
합동성을 고려한 대전차전력의 적정 소요 연구,육군본부,,87.577,2017-07-07,건양대학교 산학협력단,김용섭,이상규,서울특별시 동작구 흑석로84 (흑석동)
위치보고접속장치 통신회로카드 대체품 개발 연구용역,육군본부,91974570.0,,,,이문걸,,서울특별시 마포구 월드컵북로5길59 (서교동)
공무직근로자 등 임금체계실태조사 및 고용환경 분석,육군본부,180547129.0,106.393,2024-08-18,사단법인 안보경영연구원,박정기,정아름,"서울특별시 용산구 청파로 40, 삼구빌딩 1815호(한강로3가)"
18년 발칸 추적훈련 분석기(제조),합동참모본부,,,2020-02-12,,,박문희,
감정장비(자동염기서열분석기 등 2종) 검교정 용역,제9691부대,,73.725,2024-06-28,(주)한일종합상사,장우영,박재성,"경기도 화성시 동탄기흥로593-8 (영천동, 우정바이오 신약클러스터)"
’22년 전투발전 연구과제 용역(1),국방부조사본부,30935009.0,92.248,,국방대학교산학협력단,,김상도,"서울특별시 금천구 가산디지털2로184, 10층 1017호(가산동, 벽산디지털밸리2차)"
’18년 군 책임운영기관 고객만족도조사 연구용역,국군재정관리단,39964452.0,77.359,2018-05-24,주식회사 티엠시스,김회율,이상규,"서울특별시 송파구 석촌호수로138, 202호 (삼전동)"
사이버 자산정보 수집 분석체계 라이선스 구매,육군본부,200266012.0,106.769,2023-12-23,(주)모던애드,안인수,김영우,"서울특별시 금천구 가산디지털1로145, 308호 (가산동, 에이스하이엔드타워 3차)"
(20F172-I)00부대 라돈저감방안 연구 용역,방위사업청(운영지원과),423667599.0,,2016-10-19,,,,
(22G088-A) VR 지뢰훈련시뮬레이터 선행연구용역,국군제1068부대,,100.183,2018-01-25,피엘앤트,고기종,이미란,"서울특별시 금천구 가산디지털1로146, 705호(가산동, 대륭테크노타운22차)"
승선근무예비역의 병역제도 발전 방안 연구 용역,육군본부,,76.987,2018-12-17,해군사관학교 산학협력단,문미옥,송유근,서울특별시 광진구 천호대로524-0 (군자동)
22-수중광통신의 군사적 활용방안 및 운용효과 분석,국군복지단,211908527.0,80.883,2023-09-29,건양대학교 산학협력단,김효근,홍종운,"경기도 수원시 영통구 신원로306, 1동 8층(원천동, 이노플렉스)"
무전기 전면판 회로카드 시험장비 개발 연구용역,계룡대근무지원단,,102.809,2019-08-20,(주)지올코리아,이양희,김석용,"서울특별시 송파구 중대로 135, 아이티벤처타워 동관 16층 1601(가락동)"
통일후육군구조(안)에대한 합참과 육군(안)에대한분석,해군본부,49033636.0,,2021-02-15,주식회사 에스엘상사,김화영,윤태훈,"경상남도 창원시 성산구 완암로50-0, 메카동 813호(성산동, SK테크노파크)"
국방아키텍처 메타모델 표준화 구축 및 활용방안 연구,방위사업청(운영지원과),,91.555,2020-05-16,,,,"서울특별시 용산구 한강대로62길41, 3층 (한강로1가)"
(236367-B)표적분석용 워크스테이션 구매(리스물건),육군본부,,79.683,,주식회사 윈미디텍,남기출,최규식,"경기도 용인시 처인구 모현읍 외대로25번길12-26 (라인빌리지), 201동 302호"
월간지(안보현안분석  린사포럼) 인쇄 용역,국군재정관리단,,99.599,2021-07-05,(주) 한국능률협회컨설팅,최아진,이재동,"서울특별시 서대문구 연세로 50, 연세대학교(신촌동)"
영평사격장 이전 가능성 연구,국군재정관리단,43541307.0,,2018-05-13,,,,
모바일기기 증거분석체계 구매(교체),육군교육사령부,138481135.0,91.066,2023-08-17,에스엔케이와이즈주식회사,지용현,이숙,서울특별시 강서구 마곡중앙5로1길20 (마곡동) 520호
유·무인 복합체계 발전방안 연구,국군재정관리단,1491478.0,106.2,2020-05-19,주식회사 티앤제이커뮤니케이션,김재욱,권소희,"서울특별시 구로구 가마산로232 (구로동, 스페스큐브)"
탄도수정신관 사업분석,공군미사일방어사령부,,90.634,,주식회사 이수케이,오영철,최재영,"서울특별시 영등포구 국회대로74길20-0, 404호(여의도동, 맨하탄21)"
함 탑재용 무인항공기 선행연구,국방부(운영지원과),7519814.0,,2018-03-07,,박온서,박계향,
국방 클라우드 확산 정책 연구 용역,육군교육사령부,150193750.0,77.873,,주식회사도시경영연구원,이인형,황병윤,"서울특별시 서초구 서운로 226, 서초오피스텔 404호(서초동)"
24-F-분석기 회로망 1종 구매,공군본부,217451936.0,81.084,2022-08-14,(주)상보기업,이기석,이민수,서울특별시 구로구 가마산로282-0 (구로동) 대림오피스밸리 201호
음원수집장비 및 음원분석 워크스테이션 구매설치,방위사업청(운영지원과),413080323.0,,,광운대학교산학협력단,정주교,,"경기도 용인시 처인구 명지로 116, 명지대학교(남동)"
전평시 국가 화생방전 대응체계 발전방향 M&S 분석,해군본부,16034277.0,,2023-01-23,에이티지씨(ATGC),박종진,조영진,대전광역시 서구 도산로403번길21 전자타운419호
자동염기서열분석기 소모품 구매설치,국군재정관리단,,97.002,2021-10-31,사단법인 대한민국 육군발전협회,,이동희,"서울특별시 금천구 가산디지털2로184, 10층 1017호(가산동, 벽산디지털밸리2차)"
소화기 소음기 선행연구 용역,국군재정관리단,87149591.0,72.294,2016-01-06,국방대학교산학협력단,,,"서울특별시 용산구 한강대로62길41, 3층 (한강로1가)"
대잠훈련분석체계(AEAS) 유지보수 용역,합동참모본부,21582722.0,104.1,,(사)한국식품기술사협회,변중무,,"서울특별시 금천구 가산디지털2로184, 10층 1017호(가산동, 벽산디지털밸리2차)"
어뢰이송 및 저장체계 비상작동 조종장치 연구용역,방위사업청(운영지원과),,,2020-09-29,,,현민,
안전관련 법령의 군내 적용 방안 연구,해군본부,291317285.0,112.663,2019-12-25,,,,
샵차량 발전기 전자제어기 정비기술개발 연구용역,합동참모본부,277397557.0,99.595,,,전건욱,,
해병대 작전환경에 적합한 M&S 전력분석 연구 용역,공군본부,,102.217,2020-06-28,(사)21세기군사연구소,,박계향,"서울특별시 송파구 법원로11길25-0, A동 1310호(문정동, 에이치비즈니스파크)"
23-중.장기 공군 군수정책 발전방향 연구 용역,국군재정관리단,,82.445,2021-03-17,한성대학교 산학협력단,김지영,이정혜,"서울특별시 노원구 화랑로 621(공릉동, 서울여자대학교)"
풍력발전기에 의한 방공레이다 등의 작전영향 연구,해군본부,,,2019-12-06,,,이수행,
국제공동연구용역(1.한국-NATO안보ㆍ국방...),합동참모본부,,,2020-12-05,(주) 한국능률협회컨설팅,김진욱,박계향,서울특별시 강서구 마곡중앙8로3길79-0 (마곡동)
19년 gps 교란신호 분석 및 전파체계 유지보수 용역,제2879부대,146873697.0,,2021-12-08,주식회사 조인트리,박래호,이한웅,경상남도 함안군 칠북면 삼칠로 1826티엠시 (주)
민관군 유·무인기에 대한 공역통제방안 연구 용역,합동상호운용성기술센터,,,,주식회사 아성엠,추광식,김경호,"경기도 양주시 광적면 부흥로847, 431호(경기벤처타운)"
비궁 창정비요소개발 사업분석,국방대학교,55924902.0,80.368,2023-08-21,,,배수호,"서울특별시 송파구 법원로11길25-0, A동 1310호(문정동, 에이치비즈니스파크)"
초소형 전술위성체계 구축방안 연구,해군본부,92878100.0,98.116,,사단법인 안보경영연구원,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)"
진동분석시험장비 진동감지센서 등 16종 구매,해군본부,64176704.0,86.162,2021-08-13,,허건영,이연수,충청남도 논산시 양촌면 황산벌로1040
군사시설 주변지역 지원방안 연구,방위사업청(운영지원과),27774569.0,85.549,,,김주희,한달연,
00부대 조직문화 진단 연구용역,국군재정관리단,203021096.0,84.245,,다슬,석수진,위정은,"경기도 시흥시 목감남서로9-19 (조남동),601호 메이저타워"
간부 팔로워십 교육프로그램 개발 연구용역,육군본부,,83.828,2022-04-10,주식회사 엘씨케이테크놀로지스,추광식,박용준,경기도 광주시 오포읍 포은대로339(추자동)
19-전자파 정밀분석체계 확대구축사업 리스,국군의무사령부,,93.812,2023-06-01,젠트리거,최미옥,이동화,"서울특별시 구로구 디지털로31길41-0, 603호, 604호, 605호(구로동, 이앤씨벤처드림타워6차)"
21-함정 거주구역 개선방안 연구,육군교육사령부,20394753.0,81.455,,주식회사 태양이엔지,김학범,전병욱,"서울특별시 동작구 남부순환로2021, 2층 (사당동)"
잠수함 훈련장비(저주파분석 등 2종) 유지보수 용역,드론작전사령부,,90.064,2024-01-17,충남대학교 산학협력단,주현,김호연,"경상북도 구미시 대학로 61, 금오공과대학교 산학협력단(양호동)"
항공기 시동장비(편제장비보강사업) 사업분석,방위사업청(운영지원과),,95.417,2022-10-11,티엠시 주식회사,권혁웅,정영숙,"대전광역시 대덕구 대화로120, 7층 729,730호(대화동, 가온비즈타워)"
20-WMD/화생방 전문인력 관리 및 교육훈련 정립 연구,육군본부,33521507.0,,2017-03-22,알앤알컨설팅 주식회사,이기용,,경기도 김포시 양촌읍 황금1로89 (학운리2962)
군사작전 수행여건 정부개발계획 발전방향 연구,국군재정관리단,,78.952,2020-07-15,사단법인 한국군사시설연구소,이영환,김정옥,"서울특별시 용산구 한강대로62길41, 3층 (한강로1가)"
국방 인공지능(AI) 활용 실증기획 연구,방위사업청(운영지원과),,84.845,2022-07-09,,,,
(20G040-H)AI기반 보안사고 탐지분석시스템 ISP사업,공군본부,,85.658,2022-12-25,,,이수행,
16년도 급식분야 시범사업 추진분석 및 개선방안 연구,국방부(운영지원과),,90.61,,상명대학교산학협력단,,,"전라북도 군산시 임피면 호원대3길 64,"
미래 우주전장 분석 및 공군 우주전략 수립 연구용역,제2879부대,,80.828,2021-10-08,,,황병윤,
정책현안연구용역(글로벌중추국가의...),방위사업청(운영지원과),173345629.0,107.13,2020-08-02,(사)한국전략문제연구소,전건욱,,"서울특별시 용산구 청파로 40, 삼구빌딩 1815호(한강로3가)"
군 지휘통신체계 유지보수 발전방안 연구용역,합동참모본부,,90.902,2021-01-25,주식회사 온품,박종호,이다인,서울특별시 강남구 학동로311(논현동) 타호비지니스센터 203호
전자파 분석장치 등 2종 구매,국군재정관리단,,89.748,2024-03-14,경희대학교산학협력단,김성룡,박계향,서울특별시 영등포구 여의대방로43나길20-0 (신길동)
휴대용화학물질분석기 등 2종 구매,국방부(운영지원과),56541240.0,71.762,,(사)21세기군사연구소,변중무,윤진영,
대잠훈련분석체계(AEAS) 유지보수 용역,합동참모본부,129855187.0,75.104,,국방대학교산학협력단,전용일,,충청남도 논산시 양촌면 황산벌로1040
16년 작전지속지원분석모델 유지보수 용역,국군의무학교,266831644.0,,2020-08-31,주식회사 이안코리아,안명수,조대현,경기도 군포시 번영로497(산본동 금화프라자) 502호
24년 국방연구개발사업의 성과조사 · 분석 연구 ,육군본부,785178318.0,107.58,2018-12-15,주식회사 원영전자,박종재,김종천,"경기도 성남시 분당구 불정로219-0 (정자동, 한솔마을) 청구상가  비108호"
국방보안관리사 자격신설 연구,국군의무사령부,,,2020-10-23,,박정기,,
병리장비소모품(생화학자동분석기 등 69종) 구매,해군군수사령부,,83.627,2021-05-09,주식회사 가이온,서경희,조대현,경기도 남양주시 진접읍 양진로816-28
(237209-F) 자동염기서열분석기 구매 ,제9691부대,6327922.0,,2024-10-24,문경새재 사과나무,김재경,정평길,전북특별자치도 정읍시 북면 북면공단2길87-0
복합신호분석기 구매(20198178-F),국군재정관리단,216343552.0,104.875,2022-10-11,주식회사 한국전자파연구소,신인균,이민행,충청남도 계룡시 두마면 두계리116 계룡대림이-편한세상 109-902
무기체계 연구개발 협약·성실수행제도 방안 연구,해군본부,,80.479,,(사)국방시설연구협회,최명진,정성채,"서울특별시 강남구 테헤란로317(역삼동, 동훈타워 7,11,12,13층)"
유도무기 신뢰수준 및 시험사격 적정수량 연구,국군재정관리단,588663815.0,90.305,2021-06-04,MK메디칼,유상지,김소미,서울특별시 강남구 논현로189길6 (압구정동)
전자파 분석장치 등 2종 구매,국방부(운영지원과),,88.41,2021-11-08,(사) 한국관세무역개발원,김유진,이화주,충청북도 괴산군 문무로85-0 중원대학교내 (괴산읍)
공군 3훈비 방호시설 방호성능평가 연구용역,해군본부,,,2022-09-07,(주)심네트,윤훈수,양상원,충청남도 논산시 양촌면 황산벌로1040
23-2차 연구의무물자(BL3 수거함 등 4종) 구매,국군재정관리단,151416091.0,,2022-03-04,육군사관학교 산학협력단,정의붕,이재평,
19~20년 육군M&S센터 전문분석관 운용 용역,국군재정관리단,105742272.0,,2021-10-02,주식회사피레타,오문진,박유정,"경기도 군포시 고산로148번길17-0, B동 1303호, 1304호, 1305호(당정동, 군포IT밸리)"
분석기 주파수편이용 2EA 구매(20199199-I),국군재정관리단,,83.375,2019-11-18,,,이수행,
전차와 육군헬기의 혁신적인 운용개념 발전 연구,해군본부,99980208.0,,,,,,
인력획득 모집홍보 대상의 성향 분석 연구 용역,국군제1068부대,,97.657,2019-12-27,한남대학교 산학협력단,김윤혁,이춘근,충청남도 논산시 양촌면 황산벌로1040
무인 수색차량사업 운용요구서(ORD) 연구,방위사업청(운영지원과),,97.294,2016-08-01,,,,
군 주파수 대역정비 방안 연구,국군재정관리단,63087140.0,83.443,2020-08-13,사단법인 미래안보산업전략연구원,박영선,고윤안,"경기도 수원시 영통구 월드컵로 206(원천동, 아주대학교)"
20년 전파환경 측정/분석장비 유지보수 용역,해군군수사령부,39758901.0,111.333,,한남대학교 산학협력단,김진욱,,서울특별시 관악구 관악로1 (신림동)
21-함정 창정비 효율화 방안 연구,방위사업청(운영지원과),,96.567,2016-07-13,,전건욱,,
훈련 및 부대운영 빅데이터 활용방안 연구용역,국군재정관리단,360282398.0,,,,,,
21-함정 추진계통 신뢰성 향상을 위한 정비방안 연구,공군군수사령부,,83.15,2023-06-08,에스엔케이와이즈주식회사,홍광표,신종현,"경상북도 포항시 남구 지곡로294-0 , 233동 7층 03호(지곡동, 효자그린아파트)"
국방아키텍처 메타모델 표준화 구축 및 활용방안 연구,국군재정관리단,357426999.0,103.718,2016-10-02,경희대학교 산학협력단,조혜진,이정화,"광주광역시 서구 상무중앙로110-0 (치평동, 광주보험회관)"
BLT급 과학화상륙(지상)전 모의훈련체계 구축 연구,국방부(운영지원과),,,2017-09-18,사단법인 한국방위사업연구원,한민구,박계향,"경기도 안양시 만안구 만안로49, 519호(안양동, 호정타워)"
디지털 증거분석 수사체계 교체사업(20198118-E),공군본부,,73.097,2022-06-24,주식회사 셀젠텍,이형걸,최준호,"경기도 안양시 동안구 시민대로387  A동 1201-1호(관양동,디지털엠파이어)"
국방 정보기술 조사·분석 연구,육군본부,68296343.0,94.607,2022-12-22,한국생산성본부,안주섭,박계향,서울특별시 송파구 올림픽로505-0 (풍납동)
(227334-E)정밀측정장비(스펙트럼분석기 등 2종)구매,공군본부,74085384.0,104.154,,(주)심네트,이정원,,"서울특별시 성동구 왕십리로 222, 한양대학교 내 한양종합기술연구원 110호(행당동)"
휴대용 화학물질분석기 등 2종 구매(20197097-D),국군재정관리단,101737147.0,92.892,2020-08-03,주식회사 에이티앤아이,신승호,박계향,경기도 김포시 대곶남로501번길36-0 (대곶면)
군 범죄피해자 보호·지원을 위한 정책 연구,국군재정관리단,189191029.0,,2018-03-27,,,,
19-군 자체 안전보건경영시스템 인증제도 구축 연구,4284부대,137343317.0,,2016-06-21,,,이준식,
국방감항인증원(가칭) 설립 및 운영에 관한 연구,제2062부대,45575919.0,,2022-02-25,(사)21세기군사연구소,김진욱,옥세미,충청남도 논산시 양촌면 황산벌로1040
ATCIS 2차 성능개량사업 연구,국방부(운영지원과),85255092.0,84.982,2021-01-24,사단법인 안보경영연구원,박정기,임창흥,"서울특별시 강남구 언주로527, 10층 (역삼동)"
00기지 환경개선 사업 분석평가 및 선행연구 용역,방위사업청(운영지원과),,96.571,2022-01-30,유한회사 무궁화통신건설,김용수,이다인,경상북도 구미시 산동읍 강동로730
대함유도탄 방어유도탄 양산사업 비용분석,국군의무사령부,,83.846,,(사)21세기군사연구소,,,
