입찰공고명,공고기관명,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체주소,최종낙찰금액_num,낙찰율_num,연구주제,기관_상위
분석기(비행조종계통 점검용)외1종 구매(16-38),국군의무사령부,,,2023-09-06,영현정보통신(주),박장권,이다정,부산광역시 동래구 여고로63번길86-0 (사직동) 1층,659667344.0,,인공지능을 적용한 군사드론의 체계 연구,국군재정관리단
월간지(안보현안분석  린사포럼) 인쇄 용역,국군의무사령부,,88.0437,2017-09-14,,,,충청북도 청주시 청원구 율봉로159번길73-1 (율량동),208304679.0,87.273,함정 도면관리를 위한 SW개발 연구용역,합동참모본부
공개출처정보(OSINT) 활용 사이버위협 분석방안 연구,국군제1068부대,32585650.0,94.5874,2022-11-13,육군사관학교 산학협력단,임숙희,박동순,서울특별시 금천구 가산디지털1로171-0 (가산동) 가산SK V1 센터 1505호,,87.8268,19년 항공관제 분석체계 유지보수 용역,중앙행정기관
24년 간부 파트너십 교육프로그램 개발 연구 용역,육군본부,17069079.0,95.2879,2023-02-08,(주)아인스에스엔씨,박정기,박계향,"서울특별시 영등포구 경인로775, 2동 1201-17호(문래동3가, 에이스하이테크시티)",,83.9117,SUPPRESSED,국군재정관리단
확산탄에 의한 활주로 피해양상 연구용역,제3707부대,291413012.0,95.9751,2018-08-03,와이와이,이형민,문우정,서울특별시 용산구 한강대로46길25-0 (한강로2가) 401호,543772372.0,85.6263,방산수출 진흥을 위한 보호법령 정비방안 연구,중앙행정기관
00부대 정보체계 취약점 분석 도구 구매,국군재정관리단,139250022.0,,,건양대학교 산학협력단,전건욱,이미란,충청북도 청주시 서원구 남이면 남석로326,,87.4249,군수품 수송용 드론 선행연구 용역,군
소형무인기의 획득 및 운용을 위한 총수명주기 분석,해군본부,,,2016-02-03,주식회사 사이버앤네트워크연구원,안상희,정수민,서울특별시 영등포구 여의공원로 101(여의도동),59658859.0,,24년 국한문 혼용 공군 역사서 한글화 연구용역,중앙행정기관
작전지휘시설 신축 선행연구용역,공군군수사령부,151004008.0,,,,,,,204965157.0,87.317,00기지 환경개선 사업 분석평가 및 선행연구 용역,군
민군 협력을 통한 상호가치 창출 활성화 방안 연구,국군재정관리단,52730551.0,88.1004,2021-02-28,한국교통대학교산학협력단,김한욱,김소미,"서울특별시 금천구 가산디지털1로5, 대륭테크노타운 20차 1934호",,87.6264,22-7차 연구장비 구매 계약 - 멸균소독기 소형,국군재정관리단
(23F225-I)지형분석 S/W(Arc GIS) 교체사업 금융리스,국방부(운영지원과),61850380.0,,2023-11-17,배재대학교 산학협력단,최진식,권시형,경상남도 진주시 동진로420 (충무공동),75260060.0,,21-공-회로분석기 구매,중앙행정기관
군 급식 민간위탁 시범사업 성과분석 연구,육군본부,7950170.0,,,(사)한국안보문제연구소,박정기,박미영,"서울특별시 강남구 언주로527, 10층 (역삼동)",76715538.0,87.5263,드론봇 및 대드론체계 전력화추진 Master-Plan 연구,기관
군용 무인기 사업의 안전계수 적용 적정성 연구,공군군수사령부,,80.5971,2018-05-12,(주)휴먼이퀘이션,전건욱,이재평,"경상남도 창원시 진해구 중원로1-0 (남빈동, 해군사관학교내)",136700199.0,92.4292,19년 육군M&S센터 전문분석관 운용 용역(2019F014-I),국군재정관리단
UH-60 휠제동용 유압장치 시험장비 개발 연구용역,국방부,31242839.0,89.051,2019-03-27,주식회사 지노스,맹주수,엄기숙,"전라북도 군산시 임피면 호원대3길 64,",45654573.0,,해군수병 역량강화 프로그램 추진 연구용역,중앙행정기관
화학작용제 자동분석기 MM-1 외주정비,육군본부,,,2017-09-21,아이티 월드,박문희,장재필,"경기도 성남시 분당구 탄천상로164, A동 2층 247호(구미동, 시그마2오피스텔)",118712888.0,85.3487,SIEM을 활용한 사이버 침해 경로 도출방안 연구,중앙행정기관
대형 국외구매사업의 합리적 기종결정방안 연구,국군제1068부대,,88.247,2016-01-19,기관상사,염진수,기민경,"서울특별시 서초구 서운로 226, 서초오피스텔 404호(서초동)",184155685.0,,24-미래 한국공군 훈련기 성능 및 적정 규모 연구,국군재정관리단
미래 육군비행장 발전계획 검증 연구 용역,국군재정관리단,47949784.0,61.2612,2021-08-12,한국과학기술원,한민구,조길래,"서울특별시 서대문구 경기대로47, 307호(충정로2가)",95292503.0,87.1735,공중항적 영상식별체계 확보 연구용역,국군재정관리단
첨단과학기술의 군 활용성 제고 발전방안 연구용역,공군군수사령부,,90.8188,2020-10-13,한양대학교 산학협력단,홍문기,권호영,경기도 김포시 월곶면 김포대로2708-37,,88.1883,군 C4I체계 보호방안 연구 용역,군
KAAV RCWS/KAAV-Ⅱ총수명주기 비용에 관한 연구용역,제9691부대,54626182.0,87.698,,,,,서울특별시 강서구 양천로401 (가양동) 강서한강자이타워 B동1503~1506호,,,KAAV RCWS/KAAV-Ⅱ총수명주기 비용에 관한 연구용역,군
잠재적 미사일 위협대비 워게임 활용방안 등 연구,공군군수사령부,35615036.0,,2020-03-26,나우통상,,최동양,,,87.8668,21-해군 재료분석기 구매,4284부대
상륙기동헬기 성능개량 소요 분석 연구용역,해군군수사령부,35746586.0,82.0567,2018-01-16,사단법인 대한민국 육군발전협회,반상우,,"서울특별시 용산구 한강대로62길41, 3층 (한강로1가)",70056584.0,55.0839,ISR 자산의 효율적 통합 운용방안 연구,기관
22년 의무장비(자동분석기 생화학용 중형) 구매,국군재정관리단,0.0,,,주식회사 삼원산업,윤영현,장혜민,"서울특별시 성북구 화랑로76, 제3층 307호(하월곡동,코업스타클래스)",75959000.0,87.5336,승선근무예비역의 병역제도 발전 방안 연구 용역,군
우주 무기체계의 최적 보험 가입 방안 연구,국방부군사편찬연구소,152134058.0,,2016-06-23,(사)국방시설연구협회,김승준,김한욱,"서울특별시 구로구 디지털로34길55, 1008호 (구로동, 코오롱싸이언스밸리2차)",84029453.0,87.5763,인사교육장교 경력관리 개선을 위한 연구용역,국군재정관리단
전차 조준선 정렬 시스템 개발 연구용역,국군재정관리단,137338565.0,87.8743,,,손영일,이현정,,97577745.0,87.3423,2019년 범국민 안보의식조사 연구 용역,국군재정관리단
000사업 핸드형 네트워크 분석기 구매,국군재정관리단,57335487.0,95.3866,2021-11-10,주식회사 사이버앤네트워크연구원,이정화,김민재,"서울특별시 중구 세종대로39, 대한상공회의소 6층(남대문로4가)",99122614.0,91.7223,ㅇㅇ분석 대응활동장비 구매,중앙행정기관
미래 해양강군 해군비전 2045개정 방향 연구,국군대전병원,40551606.0,,,광운대학교산학협력단,곽민수,이경생,"서울특별시 성북구 정릉로161 6층(정릉동, 정의관)",182883205.0,88.7185,22-수중광통신의 군사적 활용방안 및 운용효과 분석,제20전투비행단
16-인성교육프로그램 등 연구 용역 계약,국방전산정보원,101881470.0,,2023-06-28,와이에스컴퍼니,최규식,,"서울특별시 송파구 중대로 135, 아이티벤처타워 동관 16층 1601(가락동)",54868098.0,54.1687,국방 무인로봇 시험평가 적용방안 연구,기관
빅데이터 분석서버 증설 사업(GPU SSD 메모리)-리스,해군본부,104544545.0,87.4362,2016-10-05,주식회사 유노미아,박미영,김보경,충청북도 청주시 흥덕구 비하로59-2 (비하동),84711096.0,92.2223,20년 수송기술병참선 제원 연구용역,군
18년 해군 전자정보 종합분석체계 개발사업,국방부(운영지원과),,,2017-06-17,선테크 주식회사,김자이,안혜경,"서울특별시 서초구 방배로27길12-0 (방배동), 201호",77240992.0,85.9369,4차 산업혁명과 연계한 미래 물자동원방안 연구,국군재정관리단
IoT 기반 전군 공통 서비스 발전방향 연구,합동참모본부,34744040.0,87.9571,,해군사관학교 산학협력단,김경호,,,94775677.0,87.6012,항공전력 도입을 고려한 효율적 운용방안 연구용역,중앙행정기관
프로그램 단위 성과관리를 위한 성과지표 연구,제2879부대,,,2020-12-30,유더블유티,박준홍,명승배,"서울특별시 서초구 서초대로1길17, 2층 226호(방배동)",69743886.0,89.0567,민·군용헬기 감항인증 상호 교차인정 적용방안 연구,제9965부대
의료기재(금연구역 표지판 등 85종)구매,육군공병학교,432807293.0,76.7186,2017-10-21,숭실대학교 산학협력단,임영갑,이경미,서울특별시 송파구 법원로8길9 (문정동) 10층,177320422.0,,재투자 의무장비 구매(1차) - 요분석기,군
2018년 범국민 안보의식조사 연구 용역,국방대학교,155635401.0,,2020-12-02,주식회사 휴콤,김영국,전승열,"서울특별시 강남구 테헤란로520, 2층(대치동, 삼안빌딩)",,,24년 국방민원서비스 만족도 조사 연구,중앙행정기관
물류운영체계 개선 연구용역(21J040-B),국방부(운영지원과),47442568.0,,2017-11-23,한서대학교 산학협력단,박종진,정주교,세종특별자치시  반곡동 시청대로370 세종국책연구단지 B동(과학.인프라동) 8-11층,189229672.0,86.3384,전파환경측정 분석장비 유지보수,중앙행정기관
17년 전시자원소요분석모델 장비 교체사업,국군재정관리단,,88.19,,,정주교,손보연,,88766969.0,,정책연구 과제(화생방),기관
DNA정량분석기 등 7항목 구매(의무),제9691부대,,,,(주)한진이엔아이,박정기,조종열,충청남도 논산시 양촌면 황산벌로1040,,,국방분야 신뢰할 수 있는 AI 기반조성 연구,중앙행정기관
전투체계 현장정비센터 운용 효율화 방안 연구,국방부(운영지원과),114953607.0,,2017-04-24,주식회사 지니클라우드,한민구,김원섭,"서울특별시 용산구 청파로47길 100, 숙명여자대학교내(청파동2가)",203066653.0,,16-'17년 대잠작전효과분석모델 성능개선 용역,군
무기체계 RAM 시험평가의 효율적 수행방안 연구,국군재정관리단,115853316.0,87.1239,,덕산넵코어스 주식회사,,박연선,"경기도 군포시 고산로148번길17-0, B동 1303호, 1304호, 1305호(당정동, 군포IT밸리)",189112767.0,87.4945,해성-I 유도탄 창정비요소개발 비용분석 연구,국군수도병원
공지통신무전기 및 함대공유도탄-II 사업 비용분석,공군군수사령부,147099086.0,92.1688,2020-04-07,,,박계향,"서울특별시 강남구 언주로527, 10층 (역삼동)",119069581.0,87.3607,22-해병대 병영문화혁신 외부 연구용역,중앙행정기관
안보학술진흥연구용역(3.국내안보환경분석또는),4284부대,27991827.0,93.6364,2023-01-05,주식회사 에코비투,윤영현,임혜정,"경기도 부천시 원미구 중동로254번길28-0 (중동, 메트로펠리스3)",82806084.0,85.4444,부대재배치 선행연구 용역(2019F065-B),중앙행정기관
17년 비용분석모델(PRICE) 유지보수 용역,국군재정관리단,42392496.0,88.0107,,와이파이컴퍼니,,김성훈,경기도 김포시 대곶면 송마로52번길61-66,491753028.0,87.4559,수치해석을통한폭발하중받는강재구조물의거동분석용역,국군재정관리단
AI 작전운용성능 설정기준 표준화 연구,공군교육사령부,176438794.0,83.8023,,(주)인콘,이재숙,이민행,경기도 동두천시 벌마들로24-0 (상패동),,65.8054,상륙공격헬기 체계운용요구 및 PBL 적용방안 연구용역,중앙행정기관
창군 100주년 준비 차기 공군 비전서(書) 작성 연구,제9691부대,23640245.0,93.429,2021-08-27,버프프로덕션,권민정,한달연,,,87.5748,합동작전분석모델-Ⅱ 탐색개발,제9691부대
인터넷접속/전자우편 통제 및 분석체계 교체사업,해군본부,95157542.0,94.8819,2021-03-14,웰스,김수상,박재형,광주광역시 서구 상무대로956번길25-0 (쌍촌동),103269360.0,87.3772,극초음속 비행체 대응 미사일방어체계 확보방안 연구,국군재정관리단
대형 후속사업 추진시 기종결정 평가항목 연구,제9691부대,,88.1106,2018-01-24,,,고미희,"서울특별시 송파구 법원로11길25-0, A동 1310호(문정동, 에이치비즈니스파크)",,87.6315,EMP방호 개선방안 연구,중앙행정기관
정보시스템 성능향상을 위한 GPU기술 응용방안 연구,국군재정관리단,,,2018-06-27,(주)레이다앤스페이스,이희우,정우철,충청북도 청주시 흥덕구 비하로59-2 (비하동),87533556.0,87.4582,효율적 획득업무 수행을 위한 WBS 표준화 연구,중앙행정기관
원가산정 체계의 AI 도입을 위한 개념 연구,국군의무사령부,35627847.0,93.7165,,에이치앤주식회사,유진경,정아름,부산광역시 동구 중앙대로286번길9-0 (초량동) 306호,88770244.0,87.4424,다목적 제설장비 운용기준 재정립 및 대체방안 연구,중앙행정기관
최근 전력화 장비·물자 ILS 분석 및 개선방안 연구,방위사업청(운영지원과),23828117.0,87.1382,2017-04-01,국방대학교산학협력단,전건욱,정택주,경기도 시흥시 경기과기대로269(정왕동),97526640.0,,22-6차 연구장비 구매 계약 - 시약 및 약품냉장고,중앙행정기관
군 암호체계 분석보호시스템 분석도구 구매,국군간호사관학교,39038284.0,,,주식회사 콤텍정보통신,안기수,김우중,"인천광역시 부평구 충선로73번길23-0 (부개동, 시티하우스2동)",35749529.0,88.1833,이동형장거리레이더 시설사업기본계획 연구용역,제9691부대
적 사이버공격 의도분석 지표개발 및 평가방안 연구,공군사관학교,,83.7626,,성균관대학교 산학협력단,한창모,이준직,"인천광역시 남동구 인주대로591번길64, 410호(구월동, 타원벨라움)",383169223.0,99.4535,18-미래 해상 무인/자율무기체계 개발방향 연구,제9227부대
(21G085-H)'22년 스펙트럼 측정분석장비 유지보수용역,국군재정관리단,,87.9153,2020-04-08,,,,,218588878.0,,군비행장 자동소음측정망 운용체계 구축방안 연구,중앙행정기관
주변국 무기체계 운영개념 및 제원 연구,육군본부,47415154.0,,,사단법인 미래안보산업전략연구원,김진욱,진수빈,"서울특별시 금천구 가산디지털2로184, 10층 1017호(가산동, 벽산디지털밸리2차)",,84.2738,한미동맹과 비군사적 협력 연구용역,중앙행정기관
동서지형의 차이를 고려한 부대 및 전력구조 연구용역,국군재정관리단,148199141.0,92.7342,2016-02-08,건국대학교 산학협력단,김지영,김지훈,"서울특별시 금천구 가산디지털2로184, 10층 1017호(가산동, 벽산디지털밸리2차)",91573972.0,87.3607,KAAV RCWS/KAAV-Ⅱ총수명주기 비용에 관한 연구용역,중앙행정기관
장비 적정수명 결정요인 선정 및 결정방법연구,국방전산정보원,,,2021-12-05,아주대학교 산학협력단,권시형,,,511858836.0,,23년 혈액가스 및 전해질분석기 구매,군
(217044-B) 21년 의무장비(요분석기) 구매,국군재정관리단,,87.7336,2022-07-07,,박종선,박진호,"서울특별시 송파구 법원로11길25-0, A동 1310호(문정동, 에이치비즈니스파크)",80221194.0,,무기체계 공급망 관리(SCM) 최적화 프로세스 연구,중앙행정기관
17년 모바일 분석체계 성능개선 사업,방위사업청(운영지원과),132276567.0,87.6433,,에스앤에스이앤지 주식회사,김주희,양삼근,"세종특별자치시  조치원읍 번영1길46, 301호, 302호",,87.4591,24-성남시 고도제한 완화요구 공공갈등 관리방안 연구,군
공무직근로자 등 임금체계실태조사 및 고용환경 분석,방위사업청(운영지원과),140298397.0,95.6448,2023-06-27,주식회사 조인트리,고찬갑,김소연,경상남도 진주시 소호로101-0 (충무공동),170112360.0,,전투실험 연구용역,제3170부대
민 군 통합 수송운영체계 구축 수송물류 비용분석,합동참모본부,54132111.0,80.2125,2016-01-06,주식회사 케이티에이,김상인,최승룡,경기도 광주시 중앙로200-0 (송정동) 203호,,87.4432,23-1차 개념설계 기술지원 연구용역,중앙행정기관
K10제독차 조종상자 회로카드 정비기술개발 연구용역,국군재정관리단,31995046.0,,2020-05-15,,박상욱,,서울특별시 강서구 양천로401 (가양동) 강서한강자이타워 B동1503~1506호,195924075.0,87.4157,방음정비고 사업 정립을 위한 선행연구용역,국군수도병원
국방과학 기술료 제도개선 방안 연구,육군 제3808부대,,87.9939,2016-09-19,세종대학교산학협력단,경상현,이양희,서울특별시 영등포구 영등포로35길10-0 (영등포동6가) 8층 809호,90489136.0,,24-성남시 고도제한 완화요구 공공갈등 관리방안 연구,중앙행정기관
AI기반 드론봇 네트워크 운용 및 실험설계 연구용역,국군재정관리단,,93.5893,2020-06-30,주식회사 우성텔레콤,박정기,김우중,충청북도 청주시서원구 개신동446-2,,84.5078,정기기초연구과제연구용역(7.미래안보상황에..),중앙행정기관
항공기 운영이력 빅데이터 수집 및 분석기법 연구,육군본부,284878621.0,88.446,2021-06-05,고신대학교 산학협력단,권정환,황혜원,,548611321.0,,상륙공격헬기 체계운용요구 및 PBL 적용방안 연구용역,국군제1068부대
(227003-H)스펙트럼측정/분석장비 노후교체,제9965부대,,87.6123,2020-10-02,케이투웹테크(주),김재영,,부산광역시 강서구 녹산산업중로62-6 (송정동),96399372.0,87.4407,상륙기동헬기 조종시뮬레이터 선행연구,국군재정관리단
병력책정기준(정보통신분야 임무/기능 적절성 연구),공군사관학교,58171769.0,,2017-05-15,주식회사 베테랑콤,김주희,이대영,경기도 수원시 영통구 삼성로274 (원천동) 수원팩토리월드 410호,82437201.0,,항공작전기지 계류공간의 효육적 활용방안 표본연구,중앙행정기관
사이버위험평가 방법 및 군 적용방안 연구,제9691부대,,88.3236,2020-05-01,주식회사 베테랑콤,곽새롬,장미선,"서울특별시 용산구 한강대로109-0 (한강로2가),404호(용성비즈텔)",67134655.0,,드론봇 및 대드론체계 전력화추진 Master-Plan 연구,군
안정화 작전을 위한 기반시설 복구부대 운영방안 연구,국군재정관리단,,81.2869,,서울대학교 산학협력단,김양훈,김해진,,104897991.0,87.5642,22-함정 비행갑판 개조(Harpoon Grid 이동) 방안 연구,합동참모본부
실전적 모의지원 연구 용역,국군재정관리단,,95.4525,2021-05-06,재단법인 세종연구소,김형철,최민정,서울특별시 성북구 삼선교로16길116-0 (삼선동2가),76000471.0,63.4496,23년 전투발전 연구용역(3),중앙행정기관
상층대기분석장비 유지보수,공군군수사령부,35602449.0,,2022-04-08,연세대학교 산학협력단,,,"전라북도 군산시 임피면 호원대3길 64,",,87.2631,00부대 EMP 보호시설 구축 선행연구 용역,군
대형양산사업의 제반 조건 분석 및 방안 연구,제9965부대,146348027.0,95.0005,2017-09-03,(재)한국정보통신산업연구원,이재현,이여정,충청북도 청주시 상당구 남일면 단재로635(공군사관학교),99096955.0,87.4475,방위산업 발전 및 경쟁력 강화를 위한 법적기반 연구,국군재정관리단
연구소 회의실 AV시스템 제조설치 납품,국군재정관리단,516974.0,87.9494,2020-12-15,우석대학교 산학협력단,김용오,홍광표,"서울특별시 성동구 성수일로4길25, 16층 (성수동2가, 서울숲코오롱디지털타워 1차)",117416159.0,,기갑 및 기계화부대 중대급 교전훈련장비 연구용역,중앙행정기관
공군 무기체계 EMP 방호능력 향상 방안 연구,국군재정관리단,,68.3729,,(주)한신솔루션,,박수연,"충청북도 청주시 흥덕구 흥덕로151-0 (운천동, 지하1층)",74518456.0,87.6862,육군 개인 재능 평가지표 개발 연구용역,중앙행정기관
24년 의무장비(헤모글로빈 A1C자동분석기) 구매,국군재정관리단,40610615.0,,2022-10-25,도원정보시스템 주식회사,김동건,최은수,서울특별시 서대문구 충정로53-0 (충정로2가) 골든타워빌딩 1701호,,84.5038,전차 조준선 정렬 시스템 개발 연구용역,중앙행정기관
23년 전투발전 연구용역(2),국군의무사령부,136144276.0,88.1225,,태린메디칼 주식회사,곽재수,김한욱,경상남도 진주시 정촌면 연꽃로141,91948048.0,84.801,SUPPRESSED,중앙행정기관
자동 00분석 지원체계 구축(20197115-H),국군재정관리단,30725313.0,95.2825,2017-11-24,버프프로덕션,박정기,김영중,"충청북도 청주시 서원구 충대로1-0 (개신동, 충북대학교)",185525192.0,87.5296,극초음속 비행체 대응 미사일방어체계 확보방안 연구,군
국방대학교 안보현안분석 등 2종 인쇄 용역,국방부(운영지원과),56216669.0,,,사단법인 안보경영연구원,김원헌,이미선,"서울특별시 강남구 언주로527, 10층 (역삼동)",,85.3969,지뢰제거에 관한 법안 연구 용역,중앙행정기관
(236367-B)표적분석용 워크스테이션 구매(리스물건),국군재정관리단,130818243.0,,2022-09-19,,이문걸,,,,91.3567,한국형 차세대 전투임무기 구축방안 등 연구,중앙행정기관
KF-16 AIFF 점검 및 교환 기술 개발 연구 용역,국방부(운영지원과),,93.9939,2021-03-09,에이치제이엘,박정기,엄지성,충청남도 홍성군 홍북읍 홍예로213-0 (엘에이치스타힐스) 121동 2201호,154352891.0,87.6723,공군 장기 군구조 발전구상 연구,중앙행정기관
EMP 군 시험기준 정립방안 연구,공군군수사령부,28746287.0,81.3738,2017-11-02,인하대학교 산학협력단,김지영,유연호,"경기도 김포시 김포한강3로237번길16, (장기동, 314호)",140853313.0,84.9199,00기지 환경개선 사업 분석평가 및 선행연구 용역,국군재정관리단
20년 전파환경 측정/분석장비 유지보수 용역,제3170부대,39244222.0,88.1623,,가천대학교산학협력단,임준석,김봉환,서울특별시 영등포구 국제금융로6길33-0 (여의도동),,,수도병원 임상의학연구센터 통계프로그램 구매계약,중앙행정기관
21-2차 개념설계 기술지원 연구용역,국군대전병원,,,2021-09-18,도현,고윤안,김성훈,"서울특별시 영등포구 선유로 70, 우리벤처타운2303호(문래동3가)",1343613595.0,97.2937,정신전력교육 기본교재 재발간에 따른 사전 연구 용역,제9691부대
23년 기술연구용역 계약 의뢰(4),국군의무사령부,17178927.0,94.3438,2020-11-11,재단법인 한국군사문제연구원,김용오,권인자,서울특별시 서초구 남부순환로319길 13(서초동),68759286.0,92.3186,00 군공항 설계기본요구조건 작성 연구용역,중앙행정기관
