입찰공고명,공고기관명,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체주소,최종낙찰금액_num,낙찰율_num,연구주제,기관_상위
국방 사이버전 EA 개념 연구,국방부(운영지원과),48000000.0,97.521,2016-06-09,재단법인 한국군사문제연구원,김형철,,"경기도 성남시 수정구 위례대로83(창곡동, 국방문화센터)",48000000.0,97.521,국방 사이버전 EA 개념 연구,중앙행정기관
16년도 급식분야 시범사업 추진분석 및 개선방안 연구,국방부(운영지원과),32000000.0,96.723,2016-04-25,(사)한국식품기술사협회,박온서,,"서울특별시 송파구 법원로127-0 (문정동,대명벨리온)1117,1118호",32000000.0,96.723,16년도 급식분야 시범사업 추진분석 및 개선방안 연구,중앙행정기관
삼군부 재현 및 이전을 위한 연구,국방부(운영지원과),65980000.0,94.366,2016-04-22,재단법인 한울문화재연구원,최종규,,경기도 수원시 장안구 파장천로 31(),65980000.0,94.366,삼군부 재현 및 이전을 위한 연구,중앙행정기관
화생방 연구 재료 초자 구매,국군화생방방호사령부,44876300.0,88.188,2016-04-01,미라클,임창흥,임창흥,"경기도 부천시 원미구 중동로254번길28-0 (중동, 메트로펠리스3)",44876300.0,88.188,화생방 연구 재료 초자 구매,기관
화생방 연구 재료 가스 구매,국군화생방방호사령부,12756700.0,68.159,2016-04-01,엠에스동민특수가스(주),박 동순,박동순,경기도 평택시 청북면 고렴길181번길 13(),12756700.0,68.159,화생방 연구 재료 가스 구매,기관
전투기 시뮬레이터와 창공모델 연동시험 연구 용역,국군재정관리단,95700000.0,72.781,2016-04-08,(주)케이씨이아이,고현준,이영익,"서울특별시 구로구 디지털로32길 30, 코오롱디지털타워빌란트15층(구로동)",95700000.0,72.781,전투기 시뮬레이터와 창공모델 연동시험 연구 용역,국군재정관리단
미래 합동작전과 해군.해병대 공동 비전 연구,해군본부,,,,,,,,,,미래 합동작전과 해군.해병대 공동 비전 연구,군
미래 합동작전과 해군.해병대 공동 비전 연구,해군본부,14700000.0,83.55,2016-04-12,재단법인 한국군사문제연구원,김형철,이수행,"경기도 성남시 수정구 위례대로83(창곡동, 국방문화센터)",14700000.0,83.55,미래 합동작전과 해군.해병대 공동 비전 연구,군
장비별 잔여수명을 고려한 순환 창정비 적용방안 연구,국방부(운영지원과),31068350.0,85.0,2016-04-26,호원대학교 산학협력단,정의붕,,"전라북도 군산시 임피면 호원대3길 64,",31068350.0,85.0,장비별 잔여수명을 고려한 순환 창정비 적용방안 연구,중앙행정기관
안정화지역 기반시설 복구방안 연구,국방부(운영지원과),21982550.0,88.689,2016-05-03,사단법인 한국군사시설연구소,김진욱,,"서울특별시 금천구 가산디지털2로184, 1017호(가산동, 벽산.경인디지털밸리2)",21982550.0,88.689,안정화지역 기반시설 복구방안 연구,중앙행정기관
북한의 기뢰전 전술 분석 및 대응책 연구,해군본부,17500000.0,98.95,2016-04-06,사단법인 대한민국해군발전협회,엄현성,이종범,서울특별시 영등포구 여의대방로43나길20-0 (신길동),17500000.0,98.95,북한의 기뢰전 전술 분석 및 대응책 연구,군
레이저대공무기사업 선행연구 및 운용요구서 연구,방위사업청(운영지원과),132000000.0,84.646,2016-04-12,세종대학교산학협력단,유상호,,서울특별시 광진구 군자동98 집현관 216,132000000.0,84.646,레이저대공무기사업 선행연구 및 운용요구서 연구,중앙행정기관
방산기술보호체계 발전방안 연구용역,방위사업청(운영지원과),44000000.0,97.777,2016-03-30,성균관대학교 산학협력단,최재붕,,"경기도 수원시 장안구 서부로 2066, 성균관대학교 자연과학캠퍼스 내(천천동)",44000000.0,97.777,방산기술보호체계 발전방안 연구용역,중앙행정기관
폭발물처리 자격신설 연구,국방부(운영지원과),45000000.0,100.0,2016-04-21,한국직업능력연구원,류장수,,세종특별자치시  시청대로370 세종국책연구단지 사회정책동,45000000.0,100.0,폭발물처리 자격신설 연구,중앙행정기관
전출처 전자정보 통합 및 적위협 가시화 방안연구,공군본부,31460000.0,78.69,2016-04-08,이비티주식회사,임중수,윤형규,"경기도 성남시 수정구 창업로54, 504호 (시흥동)",31460000.0,78.69,전출처 전자정보 통합 및 적위협 가시화 방안연구,군
국방사업관리 자격신설 연구,국방부(운영지원과),41210000.0,91.577,2016-04-19,건국대학교 산학협력단,윤동열,,"서울특별시 광진구 능동로120, 건국대학교내(화양동)",41210000.0,91.577,국방사업관리 자격신설 연구,중앙행정기관
군인연금기금 책임준비금의 적정 규모 기준 설정 연구,국방부,30000000.0,100.0,2016-05-12,사단법인 한국사회보험연구소,방극윤,,서울특별시 마포구 도화동51-1 성우빌딩 703호,30000000.0,100.0,군인연금기금 책임준비금의 적정 규모 기준 설정 연구,중앙행정기관
16년 정비지원부대 직무값 기반의 직무분석 연구용역,국군재정관리단,45100000.0,74.789,2016-04-07,(주) 한국능률협회컨설팅,한수희,주진형,서울특별시 영등포구 여의공원로 101(여의도동),45100000.0,74.789,16년 정비지원부대 직무값 기반의 직무분석 연구용역,국군재정관리단
국방로봇 운용을 위한 법/제도 개정 및 인증제도 연구,방위사업청(운영지원과),39949397.0,80.058,2016-04-29,광운대학교산학협력단,정영욱,,"서울특별시 노원구 광운로 20(월계동, 광운대학교)",39949397.0,80.058,국방로봇 운용을 위한 법/제도 개정 및 인증제도 연구,중앙행정기관
접적해역 상시정찰용 UAV 선행연구용역,해군본부,,,,,,,,,,접적해역 상시정찰용 UAV 선행연구용역,군
해상작전 유/무인기 최적화 운용방안 연구,해군본부,20950000.0,89.843,2016-04-08,재단법인 한국군사문제연구원,김형철,이수행,"경기도 성남시 수정구 위례대로83(창곡동, 국방문화센터)",20950000.0,89.843,해상작전 유/무인기 최적화 운용방안 연구,군
한국형 손상통제 모의훈련형 CBT 구축방안연구,해군본부,19650000.0,61.313,2016-03-18,주식회사 지노스,최양열,명승배,"서울특별시 금천구 가산디지털1로212, 701호(가산동,코오롱디지털타워애스턴)",19650000.0,61.313,한국형 손상통제 모의훈련형 CBT 구축방안연구,군
FF급 함정 손상대응 훈련 시나리오 개발 연구,해군본부,31680000.0,97.865,2016-04-01,(주)마린테크인,김경빈,류형열,"부산광역시 해운대구 센텀동로 35, 센텀SH밸리 404호(우동)",31680000.0,97.865,FF급 함정 손상대응 훈련 시나리오 개발 연구,군
총 수명주기간 함정 안전진단 수행체계 개선방안 연구,해군본부,23700000.0,86.079,2016-03-18,세종대학교산학협력단,유상호,임경선,서울특별시 광진구 군자동98 집현관 216,23700000.0,86.079,총 수명주기간 함정 안전진단 수행체계 개선방안 연구,군
국방 클라우드 컴퓨팅 운영환경 구축방안 연구,국방부(운영지원과),59000000.0,93.44,2016-04-06,사단법인 안보경영연구원,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)",59000000.0,93.44,국방 클라우드 컴퓨팅 운영환경 구축방안 연구,중앙행정기관
2.75 유도로켓(차량탑재형) 시설사업 선행연구,방위사업청(운영지원과),60163945.0,93.534,2016-07-13,주식회사도시경영연구원,권선애,,"서울특별시 성북구 화랑로76, 제3층 307호(하월곡동,코업스타클래스)",60163945.0,93.534,2.75 유도로켓(차량탑재형) 시설사업 선행연구,중앙행정기관
해병대 리더십개념 및 리더像 정립 연구용역,제9691부대,25622520.0,82.537,2016-06-10,주식회사 한국심리평가원,이정화,이정화,서울특별시 강남구 선릉로64길6-0 (대치동) 2층,25622520.0,82.537,해병대 리더십개념 및 리더像 정립 연구용역,제9691부대
다원적 민주주의 사회의 장병 정훈교육 방향 연구,국방부(운영지원과),59892000.0,100.0,2016-06-07,(사단) 한국정치학회,최아진,,서울특별시 마포구 동교로183-11 (동교동) 한국정치학회빌딩 4층 한국정치학회,59892000.0,100.0,다원적 민주주의 사회의 장병 정훈교육 방향 연구,중앙행정기관
체계적인 해군 C4I 체계 유지보수 관리방안 연구,해군본부,,,,,,,,,,체계적인 해군 C4I 체계 유지보수 관리방안 연구,군
주요 군사시설의 방호설계 기준 개정 연구용역,국군재정관리단,161576000.0,86.519,2016-05-25,사단법인 한국군사시설연구소,김진욱,김진욱,"서울특별시 금천구 가산디지털2로184, 1017호(가산동, 벽산.경인디지털밸리2)",161576000.0,86.519,주요 군사시설의 방호설계 기준 개정 연구용역,국군재정관리단
폭발물처리 교육 전군 통합 필요성 검토 및 방안 연구,국방부(운영지원과),23475000.0,94.886,2016-07-06,국방대학교산학협력단,이문걸,,충청남도 논산시 양촌면 황산벌로1040,23475000.0,94.886,폭발물처리 교육 전군 통합 필요성 검토 및 방안 연구,중앙행정기관
주거시설 관리 및 운영 전문성 제고 방안 연구,국방부(운영지원과),80300000.0,99.783,2016-06-17,(재)주택산업연구원,서종대,,"서울특별시 영등포구 국제금융로8길 25, 주택건설회관 10층(여의도동)",80300000.0,99.783,주거시설 관리 및 운영 전문성 제고 방안 연구,중앙행정기관
창조국방 추진을 위한 창의적 문화조성 방안 연구,국방부(운영지원과),,,,,,,,,,창조국방 추진을 위한 창의적 문화조성 방안 연구,중앙행정기관
CSRP 화생방 연구 재료 초자 구매,국군화생방방호사령부,109747400.0,88.632,2016-04-21,럭키상사,임창욱,임창욱,서울특별시 금천구 가산디지털2로123-0 (가산동) 1010-391호,109747400.0,88.632,CSRP 화생방 연구 재료 초자 구매,기관
패트리어트 PAC-3 유도탄(2차)사업 선행연구,방위사업청(운영지원과),59000000.0,87.235,2016-05-31,사단법인 안보경영연구원,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)",59000000.0,87.235,패트리어트 PAC-3 유도탄(2차)사업 선행연구,중앙행정기관
CSRP 화생방 연구 자료 시약 구매,국군화생방방호사령부,15185500.0,89.818,2016-04-21,디엔아이,박문희,박문희,경기도 화성시 동탄첨단산업1로14-0 (영천동)  KTX밸리 707호,15185500.0,89.818,CSRP 화생방 연구 자료 시약 구매,기관
해상작전 위성통신체계 성능개량 선행연구,방위사업청(운영지원과),59220593.0,61.72,2016-06-13,주식회사 씨이지앤드플러스,김규형,,"서울특별시 용산구 한강대로109-0 (한강로2가),404호(용성비즈텔)",59220593.0,61.72,해상작전 위성통신체계 성능개량 선행연구,중앙행정기관
무인 수색차량사업 운용요구서(ORD) 연구,방위사업청(운영지원과),26685855.0,88.952,2016-06-15,육군사관학교 산학협력단,김주희,,서울특별시 노원구 화랑로574-0 (공릉동),26685855.0,88.952,무인 수색차량사업 운용요구서(ORD) 연구,중앙행정기관
그린캠프 개선 및 프로그램 개발 연구용역,국군재정관리단,260000000.0,88.149,2016-05-09,중앙대학교 산학협력단,고중혁,안혜경,서울특별시 동작구 흑석로84 (흑석동),260000000.0,88.149,그린캠프 개선 및 프로그램 개발 연구용역,국군재정관리단
ATCIS 2차 성능개량 0000체계 운용요구서 연구,방위사업청(운영지원과),27606353.0,78.875,2016-06-07,주식회사 씨이지앤드플러스,김규형,,"서울특별시 용산구 한강대로109-0 (한강로2가),404호(용성비즈텔)",27606353.0,78.875,ATCIS 2차 성능개량 0000체계 운용요구서 연구,중앙행정기관
화생방 연구활동 기술용역 재료 초자 구매,국군화생방방호사령부,15746500.0,89.799,2016-04-29,디엔아이,박문희,박문희,경기도 화성시 동탄첨단산업1로14-0 (영천동)  KTX밸리 707호,15746500.0,89.799,화생방 연구활동 기술용역 재료 초자 구매,기관
서북도서용 무인항공기 선행연구,방위사업청(운영지원과),81373600.0,79.939,2016-06-13,한양대학교 산학협력단,변중무,,"서울특별시 성동구 왕십리로 222, 한양대학교 내 한양종합기술연구원 110호(행당동)",81373600.0,79.939,서북도서용 무인항공기 선행연구,중앙행정기관
함 탑재용 무인항공기 선행연구,방위사업청(운영지원과),110310737.0,79.899,2016-06-13,(주)심네트,차진섭,,대전광역시 유성구 죽동로157-0 (죽동),110310737.0,79.899,함 탑재용 무인항공기 선행연구,중앙행정기관
범국민 안보의식조사 연구용역,국군재정관리단,,,,,,,,,,범국민 안보의식조사 연구용역,국군재정관리단
차륜형장갑차 시설사업 선행연구,방위사업청(운영지원과),62773570.0,92.235,2016-05-25,주식회사도시경영연구원,권선애,,"서울특별시 성북구 화랑로76, 제3층 307호(하월곡동,코업스타클래스)",62773570.0,92.235,차륜형장갑차 시설사업 선행연구,중앙행정기관
탄소섬유탄 선행연구,방위사업청(운영지원과),78000000.0,93.79,2016-06-14,사단법인 안보경영연구원,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)",78000000.0,93.79,탄소섬유탄 선행연구,중앙행정기관
수직이륙형UAV 기지건설 가능성에 관한 연구용역,제9691부대,24900000.0,85.806,2016-05-20,주식회사 대한,설영만,신호철,"인천광역시 남동구 인주대로591번길64, 410호(구월동, 타원벨라움)",24900000.0,85.806,수직이륙형UAV 기지건설 가능성에 관한 연구용역,제9691부대
KAAV-Ⅱ운용요구서 구체화에 관한 연구용역,제9691부대,,,,,,,,,,KAAV-Ⅱ운용요구서 구체화에 관한 연구용역,제9691부대
2.75인치 유도로켓 창정비 개발 사업추진 연구용역,제9691부대,,,,,,,,,,2.75인치 유도로켓 창정비 개발 사업추진 연구용역,제9691부대
KAAV RCWS/KAAV-Ⅱ총수명주기 비용에 관한 연구용역,제9691부대,22500000.0,92.79,2016-05-20,주식회사 베테랑콤,이재평,이재평,서울특별시 서초구 서초동1432-13 202,22500000.0,92.79,KAAV RCWS/KAAV-Ⅱ총수명주기 비용에 관한 연구용역,제9691부대
16년 차세대 첨단함정 건조가능성 검토 연구용역,국군재정관리단,,,,,,,,,,16년 차세대 첨단함정 건조가능성 검토 연구용역,국군재정관리단
내부자 사이버위협 방어대책 연구용역,육군본부,38000000.0,94.529,2016-05-17,한국과학기술원,이광형,김기현,대전광역시 유성구 대학로291-0 (구성동),38000000.0,94.529,내부자 사이버위협 방어대책 연구용역,군
원주기지 활주로 재포장사업 선행연구 용역,공군 제8전투비행단,,,,,,,,,,원주기지 활주로 재포장사업 선행연구 용역,군
원주기지 활주로 재포장사업 선행연구 용역,공군 제8전투비행단,,,,,,,,,,원주기지 활주로 재포장사업 선행연구 용역,군
OO사단 등 9개 부대 개편사업 선행연구 용역,국군재정관리단,,,,,,,,,,OO사단 등 9개 부대 개편사업 선행연구 용역,국군재정관리단
16-인성교육프로그램 등 연구 용역 계약,공군교육사령부,32612420.0,93.194,2016-07-20,한국버츄프로젝트,김영경,이미선,"서울특별시 종로구 율곡로6길36 (운니동, 오피스텔월드) 1008호",32612420.0,93.194,16-인성교육프로그램 등 연구 용역 계약,군
계기착륙장치(ILS)사업 선행연구,방위사업청(운영지원과),41000000.0,86.331,2016-08-03,한국교통대학교산학협력단,김성룡,,충청북도 충주시 대학로50-0 (대소원면),41000000.0,86.331,계기착륙장치(ILS)사업 선행연구,중앙행정기관
CH-47헬기 호이스트 군직정비방안 연구 용역,제2879부대,,,,,,,,,,CH-47헬기 호이스트 군직정비방안 연구 용역,제2879부대
16-00원 종합발전 비전 연구용역,합동군사대학교,,,,,,,,,,SUPPRESSED,대학
유도무기 품질인증사격시험 기준 정립 및 절차 연구,방위사업청(운영지원과),34000000.0,90.185,2016-08-22,사단법인 안보경영연구원,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)",34000000.0,90.185,유도무기 품질인증사격시험 기준 정립 및 절차 연구,중앙행정기관
장비 고장예측 시스템 개발방안 기초연구 용역,해군군수사령부,22900000.0,48.428,2016-06-23,주식회사 리얼웹,김종귀,김영애,"서울특별시 강남구 봉은사로129-1, 5층(논현동)",22900000.0,48.428,장비 고장예측 시스템 개발방안 기초연구 용역,군
전시 공군탄약소요산정 모델 개선ㆍ보완 연구,공군본부,,,,,,,,,,전시 공군탄약소요산정 모델 개선ㆍ보완 연구,군
창조국방 추진을 위한 창의적 문화조성 방안 연구,국방부(운영지원과),,,,,,,,,,창조국방 추진을 위한 창의적 문화조성 방안 연구,중앙행정기관
아웃도어용식량의 전투식량 활용 및 비축 타당성 연구,국방부(운영지원과),24650000.0,94.997,2016-07-01,한양대학교 산학협력단,변중무,,"서울특별시 성동구 왕십리로 222, 한양대학교 내 한양종합기술연구원 110호(행당동)",24650000.0,94.997,아웃도어용식량의 전투식량 활용 및 비축 타당성 연구,중앙행정기관
