입찰공고명,공고기관명,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체주소,최종낙찰금액_num,낙찰율_num,연구주제,기관_상위
국군의학연구소 자동혈구계산기 중형,국방부(운영지원과),30264184.0,89.665,2024-07-24,(사)한국전략문제연구소,박정기,,"서울특별시 강남구 언주로527, 10층 (역삼동)",,89.662,공군 휴대용 소형무인기 대응체계 연구 용역,중앙행정기관
공개출처정보(OSINT) 활용 사이버위협 분석방안 연구,방위사업청(운영지원과),33565570.0,,2021-08-20,,,,"서울특별시 강남구 언주로527, 10층 (역삼동)",33569734.0,,합동성을 고려한 대전차전력의 적정 소요 연구,합동참모본부
18-P3탑재장비PBL적용타당성검증및성과지표개발연구,육군본부,25679744.0,,,,,,,25696413.0,88.852,박옥규 제독 평전 제작 연구 용역,제2879부대
유류시험장비(연료성분분석기 등3종)구매(20196115-E),제2879부대,,88.753,2023-06-03,(사)한국위기관리연구소,노광현,,경기도 수원시 장안구 하률로12번길80-0 (천천동),371521713.0,88.749,18년 해군 전자정보 종합분석체계 개발사업,군
창조국방 추진을 위한 창의적 문화조성 방안 연구,육군본부,4905197.0,76.911,2020-03-04,,,이민행,,4896199.0,,CCTV 효율적 관리 및 AI분야 군 적용방안 연구,군
해병항공해상운용을위한동원선박운용개념연구용역,국군재정관리단,,,2019-03-15,(주)디아이엔티,최한철,,서울특별시 구로구 가마산로279-0 (구로동) 907호,419651221.0,93.968,손상통제사 자격신설 연구,중앙행정기관
개발사업 군사작전 영향검토 및 법제화 방안 연구,국군재정관리단,,99.617,2019-05-16,주식회사 한국심리평가원,김진욱,,,220873629.0,,효율적인 유지보수 사업관리 방안 연구,중앙행정기관
국군의학연구소 자동혈구계산기 중형,해군군수사령부,13989928.0,80.686,2019-09-07,(주)에프오알엠도시건축공간연구소,,고윤안,"서울특별시 용산구 이태원로 29, 전쟁기념관 4층(용산동1가)",13995710.0,80.676,RAM 및 군수지원분석 방법 선진화 연구(2차),국군재정관리단
소형무장헬기 경제적 획득 방안 연구,공군본부,,81.631,2018-11-11,한국과학기술원,김진욱,,대전광역시 동구 대학로62-0 (용운동),,81.629,워리어플랫폼 미래단계 추진방향 연구용역,기관
잠수함 시운전 제도 개선방안 연구,방위사업청(운영지원과),6370567.0,92.368,,(주)지디시스,김정윤,정성문,"서울특별시 금천구 가산디지털1로1-0 (가산동, 더루벤스밸리) 1208호",,,국내개발 항공기 성능개량 및 관리(대체)방안 연구,중앙행정기관
(246247-D) 이동형 심리생리반응 분석장비 구매,국방부(운영지원과),170757476.0,,2022-09-29,에스케이오션플랜트(주),문유경,최규식,"경기도 성남시 분당구 구미로8, 2층(구미동, 엠타워)",,93.764,분석기  스펙트럼용 구매,군
정보학교 사이버공간정보 연구용역,공군본부,402270583.0,75.758,2018-03-05,,,,,402366710.0,75.756,아웃도어용식량의 전투식량 활용 및 비축 타당성 연구,기관
지능형 전군 악성코드 수집분석체계 구축 금융리스,국방부,592952934.0,,,주식회사 동영상사,오육환,최승룡,"서울특별시 송파구 송파대로201-0 (문정동) 송파테라타워2 A동 1213,1214,1215,1216,1217,1218호",592834108.0,113.803,상층대기분석장비(전자모듈 등18종) 구매,국군재정관리단
22-12차 연구장비 구매 계약 - 초저온냉동고,국방부(운영지원과),102268857.0,,2020-12-01,국방대학교산학협력단,윤동열,전병욱,서울특별시 관악구 관악로1 (신림동),102355359.0,115.404,BLT급 과학화상륙(지상)전 모의훈련체계 구축 연구,군
폭발물처리 교육 전군 통합 필요성 검토 및 방안 연구,국군재정관리단,1897703.0,112.893,,,,서호성,서울특별시 서초구 방배로19길21-0 (방배동),1900641.0,112.897,국방군사시설 건축바닥면적 기준 개정 연구용역,제9691부대
지상전술C4I체계 2차 성능개량 비용분석,육군교육사령부,85866496.0,98.467,2022-02-04,기산건축사사무소,정주교,박재범,서울특별시 강남구 논현로189길6 (압구정동),85945190.0,98.468,19년 작전계획분석모델 장비교체사업(20198065-E),군
미래형 성과기반 군수지원 적용방안 연구,공군사관학교,54238302.0,,,,,,,54246687.0,95.427,120mm 전차포신 약실 검사장비 개발 연구용역,제9691부대
통신전자장비 전계강도 측정분석장비 개발,국군재정관리단,48260908.0,,2022-09-16,사단법인한국강구조학회,가회광,이태훈,서울특별시 성북구 삼선교로16길116-0 (삼선동2가),48265969.0,99.637,여단급과학화전투훈련체계 경미한성능개량 사업분석,중앙행정기관
군인 주거보조비 도입방안 연구,방위사업청(운영지원과),34015447.0,102.173,2021-08-22,주식회사 베가스,최규식,안성원,충청북도 청주시 청원구 오창읍 농소길33-56,34013530.0,102.171,전시피해건물 상태평가 기준정립 연구용역,군
인지전 수행을 위한 전력증강 방향 연구,방위사업청(운영지원과),,,2018-11-20,,,배미선,,41818240.0,76.937,17년 지형분석장비 교체사업,국군재정관리단
조종사 인사관리방안 연구용역,공군본부,131364896.0,77.635,,,,,,131260304.0,77.633,정기기초연구과제용역(5.인공지능강화학습...),중앙행정기관
K10 탄약운반차량 경미한 성능개량 사업분석,국군수송사령부,,,2022-12-27,(주)디아이엔티,이희석,김준우,"서울특별시 용산구 청파로349-0 (서계동,보은개발빌딩)",316759407.0,98.11,유전자감정장비(자동염기서열분석기)소모품 설치 납품,국군재정관리단
조종사 피로도와 안전비행의 상관관계 분석 연구용역,공군본부,33821045.0,71.444,2019-05-02,,,박종부,,33854007.0,,ATCIS 개방형 OS 전환 비용대비 효과분석 연구용역,군
방산기술보호 성숙도 모델 인증제도 추진방안 연구,육군본부,264779390.0,,2017-08-25,(사)21세기군사연구소,이진욱,정봉원,"서울특별시 구로구 디지털로33길11-0 (구로동, 에이스 테크노타워8) 1406호",,,2020년 군 조직의 양성평등 지표 조사 및 분석 연구,중앙행정기관
미 해군 6.25전쟁 분석자료 번역 용역,국방부,70646001.0,,2018-06-21,,,심지민,,70642700.0,75.297,18년 분석용모델 유지보수 용역,국군재정관리단
22년 육군 분석평가단 소개영상 제작용역,국방부(운영지원과),,77.959,,주식회사 알앤엠텍,차지환,조호현,"대전광역시 유성구 죽동로321-0 (죽동, 죽동금성백조예미지), 102동 201호",497526522.0,,빅데이터 분석체계 구축사업 감리 용역,군
(227239-B) 악성코드 수집분석체계 라이선스 구매,육군본부,,,,(사)한국전략문제연구소,,,"서울특별시 용산구 청파로 40, 삼구빌딩 1815호(한강로3가)",,,2022년 의무장비(혈액가스및전해질분석기) 구매,국군재정관리단
조종사 피로도와 안전비행의 상관관계 분석 연구용역,해군군수사령부,110085454.0,,2019-12-18,(주) 한국능률협회컨설팅,김재영,이덕호,서울특별시 금천구 가산디지털1로171-0 (가산동) 가산SK V1 센터 1505호,109933006.0,,[24-육-129] 예비전력발전세미나 주제 연구(Ⅱ),합동참모본부
국방정보체계프로젝트관리시스템 발전방안 연구,국방부군사편찬연구소,94433873.0,104.087,,사단법인 안보경영연구원,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)",94364123.0,104.08,18-해상종합전술훈련장사업타당성 국내개발가능성연구,군
21년 공군 항공무장효과분석모델 통합유지보수 용역,해군본부,81126748.0,99.983,2021-08-18,사단법인 대한민국공군발전협회,경상현,황병윤,서울특별시 강남구 학동로311(논현동) 타호비지니스센터 203호,81140350.0,99.983,내부피폭선량분석셋(삼중수소 전처리장비셋) 구매,중앙행정기관
방위력개선사업에 K-RMF 적용을 위한 방안연구,국방대학교,172282174.0,79.601,2021-02-10,(사)21세기군사연구소,,,,172250576.0,79.609,차륜형지휘소용차량 시설사업기본계획 연구용역,군
(21F049-I)제2軍 대테러 종합훈련장 선행연구 용역,공군본부,98161100.0,75.076,,서울대학교 산학협력단,임영갑,전형준,"경기도 성남시 수정구 복정로84번길 22-15,(B-001호) (복정동)",98142660.0,75.077,상호운용성성공요인분석을 통한 평가업무발전방안연구,제20전투비행단
육군 NCS 기반 직무 및 요구역량 조건표 연구용역,국군제1068부대,214765361.0,89.394,,세종대학교산학협력단,김진욱,박정국,"인천광역시 중구 인중로 178, 제이엘타워 1001호(사동)",,89.397,미래 우주전장 분석 및 공군 우주전략 수립 연구용역,기관
22-해-금속성분분석기 구매,공군교육사령부,112269220.0,93.297,2024-10-03,연세대학교 산학협력단,김재영,우재봉,경상남도 진주시 동진로420 (충무공동),,93.288,지능형 C4I체계 기술 분석 및 클라우드환경 구축방안,국군재정관리단
의무장비(생화학자동분석기 등 2종) 구매(17-207),해군군수사령부,69644700.0,79.598,2021-06-16,,채수장,서경원,서울특별시 관악구 관악로1 (신림동),69757725.0,79.589,상층대기분석장비 유지보수,국군재정관리단
해병대 과학화예비군 훈련장 발전방안 연구 용역,육군본부,,78.986,2024-02-12,사단법인 한국자살예방협회,허준행,이연정,세종특별자치시  국책연구원로15-0 (반곡동),,78.984,군 급식 민간위탁 시범사업 성과분석 연구,군
성희롱 등 사건분석을 통한 조직문화 개선방안 연구,육군본부,,,2018-11-19,(사)한국전략문제연구소,박정기,,"서울특별시 강남구 언주로527, 10층 (역삼동)",106074158.0,95.765,20-공무직근로자 임금체계 연구용역(K041),군
24년 군 양성평등지표 조사 및 분석 연구,국군재정관리단,49548273.0,96.172,,군정비지원센터,김한희,이주열,경기도 고양시 덕양구 권율대로656-0 (원흥동) 17층 1739호,49552387.0,96.172,정밀루트 및 문화재 지표조사 연구용역,제9691부대
국방과학 기술료 제도개선 방안 연구,해군본부,21890471.0,109.297,2018-06-17,,,김미진,,21921605.0,,대량탄약조립장 개선방안 연구,군
전자전기 확보 및 효율적 운용방안 연구,방위사업청(운영지원과),294429368.0,,,,,,,294601910.0,86.761,19-군 자체 안전보건경영시스템 인증제도 구축 연구,군
국군역사기념관(가칭) 건립사업 선행연구,국군재정관리단,,85.676,,,,,,137587660.0,85.673,부대개편이전사업 선행연구(00부대 등 4개 부대),기관
자동염기서열분석기 소모품 구매설치,육군군수사령부,,95.202,2021-12-17,해군사관학교 산학협력단,한영수,방금인,서울특별시 영등포구 영등포로35길10-0 (영등포동6가) 8층 809호,24527723.0,,22-합 -분석실험실 운용장비 교체사업 리스,제20전투비행단
사례분석을 통한 對아세안 국방협력 발전방안 연구,국군재정관리단,122845961.0,,,건양대학교 산학협력단,김규원,이정원,경기도 성남시 수정구 창업로42(시흥동) 판교제2테크노밸리 경기기업성장센터 532호,,87.024,CMMC 관련 통합실태조사 개선안 연구,제9691부대
군의료 특성화 연구용역(요추유합술 환자만족도 연구),국군재정관리단,99376381.0,90.074,2021-04-20,조선대학교 산학협력단,,장유라,"서울특별시 용산구 이태원로 29, 전쟁기념관 4층(용산동1가)",99375542.0,90.078,’22년 전투발전 연구과제 용역(1),국군재정관리단
K-UAM과 연계한 드론 통합관제체계 구축 방안 연구,국군재정관리단,,,2023-02-28,주식회사 아레스,채수장,강우철,"서울특별시 성북구 정릉로 77, 국민대학교내(정릉동)",278865885.0,,수도병원 임상의학연구센터 통계프로그램 구매계약,군
소형드론용 지능형 영상분석기술 연구/시연 용역,국방부(운영지원과),,90.948,2017-09-25,,,,,182413408.0,,신기술 적용을 통한 저장시설 물류향상 연구,군
대잠훈련분석체계(AEAS) 유지보수 정비,국방대학교,83444232.0,74.907,,청주대학교산학협력단,허건영,이우학,서울특별시 관악구 관악로1 (신림동),,74.901,자동염기서열분석기 정비 및 검교정,중앙행정기관
병 오일분석용 구매,국군의무사령부,85042907.0,88.584,2019-04-29,(주)다남정보통신,김금남,한아름,"서울특별시 영등포구 국회대로74길19, 동우국제빌딩 902호",84992949.0,,군수지원함(AOE-Ⅱ) 2차사업(양산) 비용분석,기관
자동화사격장 차단벽구조 구축방안 연구용역,국군화생방방호사령부,100423870.0,92.553,2020-10-16,,,,,,92.562,해양 유ㆍ무인 복합전투체계에 대한 대응방안 연구,중앙행정기관
극지안보환경 변화에 따른 미래 한국해군의 역할 연구,공군제18전투비행단,38398014.0,,2019-01-01,(주)렛츠정보통신,김운용,노민택,서울특별시 관악구 관악로1 (신림동),38365929.0,76.466,지상공중우주계층별 양자기술연구용역,국군재정관리단
기초자치단체 비상대비업무 담당자 신편방안 연구,국방부(운영지원과),,90.562,2019-09-16,(사)21세기군사연구소,주양효,,대전광역시 유성구 유성대로1646-0 (전민동),387291736.0,,00학교 종합정보체계 고도화사업 개념연구,중앙행정기관
미래형 성과기반 군수지원 적용방안 연구,육군교육사령부,,81.025,2018-07-24,,전건욱,박계향,,,81.025,임베디드 및 군 무선통신 취약점 분석기술 연구,군
KUH-1 엔진 시험장비 고장예측시스템 개발 연구용역,제6619부대,37310287.0,82.168,2019-11-08,알앤알컨설팅 주식회사,김운용,,부산광역시 부산진구 동성로20 (전포동),37357341.0,,4차 산업혁명 전장기능별 무기체계 소요 연구 용역,군
국방 사이버보안 종합발전 전략 연구,육군교육사령부,,88.479,2020-11-08,삼성서울병원,김상인,서경원,경기도 수원시 장안구 하률로12번길80-0 (천천동),174558023.0,88.482,통섭형 인재 육성을 위한 직무순환 방안 연구 용역,중앙행정기관
(207118-D)00분석체계 구축자재 구매,방위사업청(운영지원과),216968601.0,,2020-05-06,주식회사 다윤테크,홍태오,김영철,충청북도 청주시서원구 개신동446-2,217096121.0,,디지털 증거분석 수사체계 도입(218091-A),중앙행정기관
국방 안전환경 분석 및 안전교육 정책 발전 방안 연구,육군교육사령부,,79.045,2016-04-26,건양대학교 산학협력단,권오성,박계향,"서울특별시 금천구 가산디지털2로184, 1017호(가산동, 벽산.경인디지털밸리2)",150637488.0,,CN-235 항공기 특성(RCS/IR Signature) 연구,군
대잠훈련분석체계(AEAS) 유지보수 용역,국군재정관리단,,84.496,,테크디,이정근,조대현,서울특별시 강남구 논현로189길6 (압구정동),117578656.0,84.498,(20F058-A)소음영양도작성을위한소음측정및분석용역,군
상층대기분석장비 유지보수,국방부(운영지원과),,87.357,2020-06-23,법무법인 집현전,박영선,윤진영,서울특별시 성북구 삼선교로16길116-0 (삼선동2가),497549418.0,87.354,상층대기분석장비 유지보수,중앙행정기관
21-수명주기와 연계한 경항공모함 정비방안 연구,국군재정관리단,44578686.0,,2022-03-12,사단법인 안보경영연구원,전건욱,황병윤,"서울특별시 강남구 언주로527, 10층 (역삼동)",,87.282,육군 NCS직무표준화 및 군내 활용방안 연구 용역,중앙행정기관
집중정신전력교육 프로그램 개발 연구용역,국군수도병원,364724571.0,93.312,2020-02-05,,,,,365008847.0,93.308,드론봇 전투체계 통합관제체계 구축 연구용역,국군재정관리단
훈련 및 부대운영 빅데이터 활용방안 연구용역,국방대학교,23048690.0,102.283,2017-08-05,사단법인 안보경영연구원,박정기,,"서울특별시 강남구 언주로527, 10층 (역삼동)",23042895.0,,OO사단 등 9개 부대 개편사업 선행연구 용역,군
중장비 수송차량 이동을 위한 도로능력 검증 연구용역,국방부조사본부,,95.789,,국민대학교산학협력단,민성호,두진욱,충청북도 청주시 상당구 남일면 단재로635(공군사관학교),87014500.0,95.789,지형 지질등을 고려한 지하형 탄약고 신축타당성 연구,국군재정관리단
보라매(KF-21) 양산 비용분석,방위사업청(운영지원과),41671054.0,,2021-08-23,(주)아인스에스엔씨,김종호,김서연,"서울특별시 서대문구 경기대로47, 307호(충정로2가)",,83.691,(216178-D)휴대용화학탐지장비(화학물질분석기) 구매,군
16년 작전지속지원분석모델 유지보수 용역,해군본부,22133560.0,91.256,,한국여성정책연구원,김진원,나인성,서울특별시 금천구 벚꽃로244-0 (가산동)810호 벽산디지털밸리5차,22105929.0,91.263,정밀측정장비(스펙트럼분석기 등 4종) 구매,국군재정관리단
함정 GPS 함속력계 신호 변환 장치 개발 연구용역,국방전산정보원,113668351.0,99.01,2016-12-09,,,이수행,,113617798.0,99.007,부대개편이전사업 선행연구(00부대 등 4개 부대),군
군용비행장 소음측정 및 분석용역(해),국군재정관리단,57719462.0,,,,김주희,최재현,,,86.453,(20F169-A)지형분석장비 교체사업 등 17건 금융리스,군
17-방공관제사-94 보급수송과 스펙트럼 분석기/3품목,국군재정관리단,101981966.0,,2022-05-20,세종대학교산학협력단,유상호,박계향,"서울특별시 용산구 이태원로 29, 전쟁기념관 4층(용산동1가)",,85.52,19년 작전계획분석모델 장비교체사업(20198065-E),중앙행정기관
(21G087-I)범국민 안보의식조사 연구 용역,국군의무사령부,,92.665,2022-09-19,(사)한국식품기술사협회,양선원,심지민,"서울특별시 금천구 가산디지털2로184, 10층 1017호(가산동, 벽산디지털밸리2차)",118019752.0,92.664,21-2차 개념설계 기술지원 연구용역,군
반환 미군기지 매각 활성화를 위한 처분 방안 연구,제9691부대,192601381.0,115.153,2018-03-22,(사)21세기군사연구소,한민구,,서울특별시 마포구 월드컵북로5길59 (서교동),192689402.0,115.151,전투발전 연구용역 과제 세미나 수행 용역,군
23년 의무장비(전기수술기 분석기) 구매,육군교육사령부,104230508.0,97.659,,한성대학교 산학협력단,고영호,김정은,서울특별시 성북구 삼선교로16길116-0 (삼선동2가),,,디지털 증거분석체계 라이센스 확보 사업,군
인공지능 무기체계 시험평가 기준 절차 방법 연구,국방부(운영지원과),,,2020-11-16,국방대학교산학협력단,정현찬,윤병찬,서울특별시 성북구 삼선교로16길116-0 (삼선동2가),73152900.0,83.403,예비전력발전세미나 주제연구(Ⅱ) 용역,군
요분석기 사단용 등 2종 구매,국방대학교,366711027.0,93.256,2017-12-30,주식회사 미디어스테이션,임지연,조종열,경기도 의왕시 오봉산단3로25 (삼동) 의왕테크노파크 더리브비즈원 1동1528호,366944803.0,93.258,(207134-H)국방보안조사 분석시스템 HW구매(리스물건),합동상호운용성기술센터
24년 기술연구용역(3),국군화생방방호사령부,4291167.0,107.994,,제이컴,이승후,백수정,"경기도 성남시 중원구 갈마치로302, A동 602호 (상대원동, 우림라이온스밸리5차)",4298498.0,107.987,인지전 수행을 위한 전력증강 방향 연구,중앙행정기관
(22F008-I)주민 지자체함께와상생하는훈련장연구용역,해군본부,,96.318,2020-10-25,사단법인 안보경영연구원,박정기,,"서울특별시 용산구 청파로 40, 삼구빌딩 1815호(한강로3가)",156103644.0,96.312,차륜형지휘소용차량 시설사업기본계획 연구용역,중앙행정기관
NCoE 구현을 위한 합참중심 QoS 모델 연구 용역,공군본부,,93.512,2017-10-21,행복한 일 연구소,김성룡,,"서울특별시 구로구 디지털로33길11-0 (구로동, 에이스 테크노타워8) 1406호",,93.506,연구활동 재료(시약) 113종 구매 ,제9691부대
기술인력육성 보조사업자 운영성과평가 및 연구,육군교육사령부,,,2020-11-03,주식회사 성보,윤미선,나인성,"경기도 안양시 동안구 학의로282, B동 1616호",41208352.0,,스펙트럼분석기 등 5종 구매,중앙행정기관
북한의 기뢰전 전술 분석 및 대응책 연구,국방부(운영지원과),,,2017-11-09,,박정기,엄지성,,,93.47,한국 육군 교육훈련관리의 개선방안 연구,중앙행정기관
전시자원소요분석모델 장비 교체사업 리스,국군재정관리단,12653953.0,,2022-04-18,사단법인 안보경영연구원,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)",12664580.0,,통일후육군구조(안)에대한 합참과 육군(안)에대한분석,군
표적획득 및 사격지휘체계 발전에 따른 포병효과 분석,국방부(운영지원과),,,,명지대학교 산학협력단,윤진영,장정연,경기도 용인시 기흥구 마북로207(마북동),,91.191,항-19-032 자동면역분석기 시약(HBsAg RGT)등 112종,군
