입찰공고번호,입찰공고차수,입찰공고명,업무구분명,계약체결형태명,계약체결방법명,낙찰자결정방법명,적격심사여부,공고기관명,공고기관코드,수요기관명,수요기관코드,낙찰하한율,예정가격,기초금액,추정가격,개찰일자,개찰시각,개찰결과구분명,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체사업자등록번호,최종낙찰업체주소
SFD0105,1,24-P-AV/방송 및 광다중화장비 외주정비 용역,용역,총액계약,제한경쟁,적격심사제,Y,제9227부대,ZD00150,제9227부대,ZD00150,87.745,117510124,117647058,109090909,2024-01-03,10:30:00,개찰완료,103158840,87.787,2024-01-03,진명전력 주식회사,배장수,김혜진,510-81-10552,경상북도 문경시 산양면 산양공단1길19-90
SFN0082,1,24-Y-무인감시장비 유지보수용역,용역,총액계약,제한경쟁,적격심사제,Y,연평부대,ZD00160,연평부대,ZD00160,87.745,221654873,220096445,204171100,2024-01-03,10:30:00,개찰완료,194724895,87.85,2024-01-03,주식회사 썬플라워즈,김종석,김종석,122-86-43550,"인천광역시 서구 가석로30, 광양프런티어밸리 3차 301호 (가좌동)"
UMM0757,2,(23F266-I) '24년 전자유도카트 위탁관리 용역,용역,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.745,81393531,81892284,75936482,2024-01-03,11:00:00,개찰완료,79200000,97.305,2024-01-03,주식회사 신한교역히타치골프카트한국총판,송덕순,성정미,515-81-11686,대구광역시 수성구 국채보상로1087-1 (만촌동)
UMM0783,2,(23F262-I) 24년 오수처리시설 위탁관리 용역,용역,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.745,193808349,192526098,178524200,2024-01-03,11:00:00,개찰완료,170680640,88.066,2024-01-03,청해ENV주식회사,이병관,임병무,141-81-09617,"경기도 파주시 가나무로143, 3층 (금릉동, 파주메트로프라자1)"
UMM0799,1,(23F274-I) 24년 대기오염 측정용역(일반물질),용역,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.745,143951390,143337000,134580000,2024-01-03,11:00:00,개찰완료,126324000,87.754,2024-01-03,주식회사 이안환경,김수성,김수성,810-81-02175,경상남도 창원시 의창구 창이대로15번길24-0 (팔용동) 6층
UMM0797,1,(23F271-A) 음식물류  폐기물  위탁처리 용역,용역,총액계약,일반경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,80.495,483322810,484313720,449090909,2024-01-03,11:00:00,개찰완료,389606970,80.61,2024-01-03,오션환경,김진태,김진태,866-55-00661,경기도 광명시 범안로1035-0 (하안동)
HCL0005,1,24년 간부식당 식자재 구매,물품,총액계약,제한경쟁,적격심사제,Y,공군사관학교,7002962,공군사관학교,7002962,82.995,422398025,428735260,433762520,2024-01-03,10:30:00,개찰완료,351974920,83.327,2024-01-03,미가온,변정순,이용진,106-02-51645,경기도 파주시 장명산길174-20 (오도동)
UMM0795,1,(23F275-A) 대기오염 측정용역(특정물질),용역,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.745,201269504,200509990,186458182,2024-01-04,11:00:00,개찰완료,176880880,87.882,2024-01-04,주식회사에스텍코리아,전인기,전금희,140-81-15004,경기도 안산시 단원구 광덕4로180-0 (고잔동) 부원프라자 202호
UMM0792,1,24-F-임대프린터 용역,용역,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.745,126043544,126970000,117741818,2024-01-04,11:00:00,개찰완료,110605001,87.751,2024-01-04,엠제이컴퍼니,유수환,유수환,414-04-64249,"대구광역시 동구 신암남로50, 107동 1101호(신암동, 신암건영캐스빌)"
UMM0793,1,24-F-프린터 임차 용역,용역,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.745,130475219,131530000,121972582,2024-01-04,11:00:00,개찰완료,114486556,87.745,2024-01-04,까치밥,김병준,김병준,374-14-00266,경상남도 산청군 신안면 중촌갈전로912-37
UMM0796,1,(23F295-A) 24년 상병건강검진 부분위탁용역,용역,총액계약,일반경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.745,202623327,203592730,193749882,2024-01-04,11:00:00,개찰완료,178000000,87.847,2024-01-04,신촌연세병원,김영진,이수도,105-90-28677,서울특별시 마포구 서강로110-0 (신수동)
UMM0805,1,(23G053-H) 24년 정보통신장비 통합유지보수용역,용역,총액계약,일반경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,82.995,585701178,588095090,545324545,2024-01-04,11:00:00,개찰완료,487383800,83.213,2024-01-04,(주)두손씨에스티,최수경,이숙원,113-81-85890,서울특별시 금천구 벚꽃로234 에이스하이엔드6차 1001호
UMM0807,1,(23G056)24년 합동전파관리시스템 유지보수 용역,용역,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.745,157693585,157710690,148670555,2024-01-04,11:00:00,개찰완료,138383000,87.754,2024-01-04,株式會社 錦湖이.티.시,김두현,김혜정,615-81-19727,"경상남도 김해시 칠산로291번길16-5, 2층(화목동)"
SCH0204,1,24-부 일반폐기물 처리 용역,용역,총액계약,제한경쟁,적격심사제,Y,해군작전사령부,ZD00137,해군작전사령부,ZD00137,84.245,107791164,108000000,100000000,2024-01-05,10:30:00,개찰완료,90942500,84.369,2024-01-05,주식회사 이레산업,박점미,박점미,468-88-01028,부산광역시 강서구 공항앞길221번길56-0 (대저2동)
UMM0794,1,24-F-행정지원체계 통합유지보수 용역,용역,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.745,148923715,150530000,140466364,2024-01-05,11:00:00,개찰완료,130820000,87.843,2024-01-05,청남정보통신 주식회사,박규대,박미나,314-81-45114,대전광역시 서구 계룡로245번길40 2층 (월평동)
HDK0040,1,공군 제11전투비행단 병사식당 급식 민간위탁 용역,용역,총액계약,협상에의한계약(서류),협상,N,공군제11전투비행단,ZD00202,공군제11전투비행단,ZD00202,,41583360000,,37803054545,2024-01-08,10:00:00,개찰완료,41583360000,100,2024-01-08,주식회사 풀무원푸드앤컬처,이동훈,안예지,214-86-08930,서울특별시 송파구 송파대로34길29(송파동)
UMM0800,1,24-D-계룡지역 조경관리 용역,용역,총액계약,일반경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.995,1937106441,1919810000,1780193455,2024-01-08,11:00:00,개찰완료,1709520000,88.251,2024-01-08,진솔조경(주),김옥희,김옥희,142-81-19423,경기도 용인시 수지구 풍덕천로139번길 10-5()
MHD0099,1,무기체계 개발시험평가 역할 재정립에 관한 연구,용역,총액계약,협상에의한계약(전자),협상,N,방위사업청(운영지원과),1690000,방위사업청(운영지원과),1690000,,67012000,,60920000,2024-01-09,15:00:00,개찰완료,60632000,90.479,2024-03-25,한성대학교 산학협력단,이정훈,심지민,209-82-08319,서울특별시 성북구 삼선교로16길116-0 (삼선동2가)
HDP0002,1,24년 간부식당 2개소 식자재 구매,물품,총액계약,제한경쟁,적격심사제,Y,공군제19전투비행단,ZD00189,공군제19전투비행단,ZD00189,82.995,867696177,871038990,791853627,2024-01-09,11:00:00,개찰완료,720207860,83.002,2024-01-09,주식회사 아름상사,박정석,박정석,670-88-01470,경기도 화성시 동탄광역환승로63 (오산동)
HDP0001,1,24년 간부식당 2개소 김치 구매,물품,총액계약,일반경쟁,적격심사제,Y,공군제19전투비행단,ZD00189,공군제19전투비행단,ZD00189,87.995,113972017,114219670,103836064,2024-01-09,11:00:00,개찰완료,100372918,88.068,2024-01-09,(주)동심,김미애,김미애,303-81-15401,충청북도 충주시 중앙탑면 감노로2315
SCP0002,1,24-포 음식물류폐기물 처리 용역,용역,총액계약,제한경쟁,적격심사제,Y,제8385부대,1290333,제8385부대,1290333,84.245,100500704,101000000,93927273,2024-01-09,10:30:00,개찰완료,84742280,84.32,2024-01-09,원진기업(주),이상수,이봉춘,506-81-05462,경상북도 포항시 남구 오천읍 정몽주로624번길 10()
SCP0003,1,24-동 음식물류폐기물 처리 용역,용역,총액계약,제한경쟁,적격심사제,Y,제8385부대,1290333,제8385부대,1290333,84.245,145417796,145000000,134487273,2024-01-09,10:30:00,개찰완료,122541870,84.268,2024-01-09,두미르환경,김나경,김나경,173-71-00313,강원도 춘천시 동면 소양강로398-0
UAZ0001,1,도서관 24년 정기간행물 구매,물품,총액계약,일반경쟁,최저가격제,N,합동군사대학교,ZD00969,합동군사대학교,ZD00969,0,10952241,10992000,9992720,2024-01-09,13:00:00,개찰완료,9593380,87.592,2024-01-09,데쎄오,임지현,임지현,526-12-01450,"경기도 수원시 장안구 정자천로189번길40(정자동, 연꽃마을벽산아파트) 423동 2004호"
UMM0804,2,(23F272-I) 24년 수료신병 수송용역,용역,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.745,204908286,205593500,190641255,2024-01-10,11:00:00,개찰완료,201850000,98.507,2024-01-10,(주)코리아나고속관광,곽연숙,이성희,305-81-07741,"대전광역시 서구 동서대로 1078, 승일빌딩2층 201(변동)"
UMM0801,2,(23F296-I) 24년 전투지휘훈련 병력수송용역,용역,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.745,121902965,122288230,113394545,2024-01-10,11:00:00,개찰완료,107700520,88.349,2024-01-10,(주)대원고속관광,김동현,조성민,302-81-05797,"대전광역시 중구 태평로44번길27, 309호(유천동, 현암에버드림)"
LFC0001,1,24년 설날 경축특식 훈제닭다리 제조구매,물품,총액계약,제한경쟁,적격심사제,Y,육군훈련소,ZD00010,육군훈련소,ZD00010,87.995,43693962,43560000,39600000,2024-01-10,11:00:00,개찰완료,38448960,87.996,2024-01-10,농업회사법인주식회사대화농산,최태은,정지현,797-86-00923,경기도 수원시 영통구 법조로25-0 (하동) SK VIEW LAKE A동 3716호
LFC0003,1,24년 2~3월 경쟁계약 품목(부식류) 구매,물품,총액계약,제한경쟁,적격심사제,Y,육군훈련소,ZD00010,육군훈련소,ZD00010,87.995,173639582,173174360,157431236,2024-01-10,11:00:00,개찰완료,152810485,88.004,2024-01-10,주식회사 와겐,이소희,이소희,234-87-00318,"대구광역시 달서구 성서로229, 310호(갈산동, 성서지식산업센터)"
SCP0004,1,24-오폐수처리시설 위탁관리 용역,용역,총액계약,제한경쟁,적격심사제,Y,제8385부대,1290333,제8385부대,1290333,87.745,191107508,191600000,177711818,2024-01-10,10:30:00,개찰완료,168236936,88.032,2024-01-10,케이엠네이쳐주식회사,정복녀,이광선,226-81-24224,강원특별자치도 강릉시 주문진읍 농공단지길28-75
HCG0051,1,24-항공관제 분석체계 유지보수 용역,용역,총액계약,제한경쟁,적격심사제,Y,공군본부,1290339,공군본부,1290339,87.745,32195626,32236900,31356364,2024-01-11,16:00:00,개찰완료,28282000,87.844,2024-01-11,주식회사 글로벌메타,김부원,이기찬,129-86-65050,서울특별시 관악구 남부순환로1808 (봉천동) 1414호
SCF0518,1,살치살(냉동/스테이크용),물품,단가계약,제한경쟁,적격심사제,Y,해군군수사령부,ZD00289,해군군수사령부,ZD00289,87.995,28273,28431,42920000,2024-01-11,10:30:00,개찰완료,24940,88.212,2024-01-11,태산,김소영,김소영,628-24-01759,경상남도 양산시 덕계로80-0 (덕계동)
SCF0516,1,부챗살(냉동/스테이크용),물품,단가계약,제한경쟁,적격심사제,Y,해군군수사령부,ZD00289,해군군수사령부,ZD00289,87.995,23723,23529,50880000,2024-01-11,10:30:00,개찰완료,20880,88.017,2024-01-11,영진식자재,권영희,권영희,612-19-25709,경상남도 창원시 진해구 조천북로62-0 (경화동) 101호
SCF0515,1,부챗살(냉동/덩어리),물품,단가계약,제한경쟁,적격심사제,Y,해군군수사령부,ZD00289,해군군수사령부,ZD00289,87.995,23542,23529,4800000,2024-01-11,10:30:00,개찰완료,20717,88,2024-01-11,주식회사 원양에프엔지 농업회사법인,심세진,김나영,680-88-00537,경상남도 창원시 마산합포구 진전면 팔의사로511-97
SCF0517,1,살치살(냉동/덩어리),물품,단가계약,제한경쟁,적격심사제,Y,해군군수사령부,ZD00289,해군군수사령부,ZD00289,87.995,23691,23529,4800000,2024-01-11,10:30:00,개찰완료,20848,87.999,2024-01-11,유진축산,김무형,김무형,124-95-88439,경상남도 창원시 진해구 석동로34번길12 (석동)
UMM0811,1,24-F-공본지역 임대프린터 용역,용역,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.745,76449322,76710000,71136000,2024-01-11,11:00:00,개찰완료,67081610,87.746,2024-01-11,구자다,구자혜,구자혜,106-44-64252,"인천광역시 강화군 강화읍 남문로41, 102동 1002호(남산리.미래지향아파트)"
HDL0001,1,24년 예성회관 식자재 구매,물품,총액계약,일반경쟁,적격심사제,Y,공군제16전투비행단,ZD00186,공군제16전투비행단,ZD00186,82.995,422076884,418903944,388438203,2024-01-11,11:00:00,개찰완료,350370719,83.011,2024-01-11,푸른,고승정,고승정,462-23-00395,"경기도 성남시 분당구 성남대로916번길11, 4층 4-22호 (야탑동, 글라스타워)"
LKF0004,1,00부대 사업장 생활폐기물 처리 용역,용역,총액계약,제한경쟁,최저가격제,N,제6755부대,ZD00090,제6755부대,ZD00090,84.245,136161786,136000000,126109091,2024-01-11,10:30:00,개찰완료,114859630,84.355,2024-01-11,주식회사 정원,고득용,고득용,511-81-20053,경상북도 문경시 신기공단1길22-21 (신기동)
SCF0002,1,24년 국외항공특송 수송용역,용역,총액계약,제한경쟁,적격심사제,Y,해군군수사령부,ZD00289,해군군수사령부,ZD00289,87.745,44611591,45000000,47116940,2024-01-11,10:30:00,개찰완료,39358000,88.223,2024-01-11,(주)성강로지스틱스,김재근,김임순,206-86-49075,"서울특별시 중구 서소문로116, 1302호, 1303호 (서소문동)"
UMM0001,1,(23F265-A)24년 ~ 26년 정수기 임차용역,용역,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.745,213808974,214429410,198834545,2024-01-11,11:00:00,개찰완료,187607590,87.745,2024-01-11,로템컴퍼니,최우준,최우준,362-17-01846,"서울특별시 양천구 오목로23길38, 102호(신정동, 중앙빌라)"
LKT0003,1,24년 직할대 생활폐기물 처리용역,용역,총액계약,제한경쟁,적격심사제,Y,제1989부대,ZD00011,제1989부대,ZD00011,84.245,131735563,131911764,122318182,2024-01-12,13:30:00,개찰완료,111162400,84.382,2024-01-12,초당환경유한회사,박영남,최명환,410-81-71507,전라남도 장성군 삼서면 옥산길9
SFG0003,1,24년 청룡회관 식자재(감자 등 119종) 구매,물품,총액계약,제한경쟁,적격심사제,Y,제9181부대,ZD00151,제9181부대,ZD00151,87.995,82408091,82642900,75129909,2024-01-12,10:30:00,개찰완료,72725800,88.25,2024-01-12,에이치케이푸드,정흥기,정흥기,312-07-58160,"경기도 용인시 수지구 진산로108(풍덕천동, 진산마을삼성6차아파트)"
UMM0002,1,24-M-얼음정수기 임차 용역,용역,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.745,229207740,227080000,210570545,2024-01-12,11:00:00,개찰완료,201152990,87.76,2024-01-12,제이씨드림,김현구,김현구,772-18-00416,울산광역시 울주군 온양읍 남창로944-2
UMM0812,1,24-M-음식물류 폐기물 위탁처리 용역,용역,총액계약,일반경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,80.495,409223446,409200000,390000000,2024-01-15,11:00:00,개찰완료,330378980,80.733,2024-01-15,원진기업(주),이상수,이봉춘,506-81-05462,경상북도 포항시 남구 오천읍 정몽주로624번길 10()
LCJ0001,1,파병부대 반팔티 등 5품목 구매,물품,총액계약,제한경쟁,적격심사제,Y,종합보급창,ZD00898,종합보급창,ZD00898,87.995,144533404,144621470,134103545,2024-01-15,11:00:00,개찰완료,127183860,87.996,2024-01-15,프로컴퍼니,이석희,이석희,784-03-01490,"경기도 의왕시 장안중앙로42, 104동 502호(삼동, 의왕역 푸르지오 라포레)"
LCJ0002,1,파병부대 전투복 등 2품목 제조,물품,총액계약,제한경쟁,적격심사제,Y,종합보급창,ZD00898,종합보급창,ZD00898,87.995,146921882,146143520,135514909,2024-01-15,11:00:00,개찰완료,129373231,88.055,2024-01-15,매쉬미디어(주),김문선,전예슬,128-86-73106,서울특별시 마포구 양화로183-0 (동교동) 효성홍익인간오피스텔 14층 1412호
SCF0522,1,돼지목심(냉동,물품,단가계약,제한경쟁,적격심사제,Y,해군군수사령부,ZD00289,해군군수사령부,ZD00289,87.995,15758,15686,20000000,2024-01-16,10:30:00,개찰완료,13870,88.02,2024-01-16,영진식자재,권영희,권영희,612-19-25709,경상남도 창원시 진해구 조천북로62-0 (경화동) 101호
SCF0521,1,LA 돼지갈비(냉동),물품,단가계약,제한경쟁,적격심사제,Y,해군군수사령부,ZD00289,해군군수사령부,ZD00289,87.995,12801,12745,66950000,2024-01-16,10:30:00,개찰완료,11283,88.138,2024-01-16,행복유통,이윤영,강문정,822-01-01522,경상남도 창원시 진해구 태평로48번길2-0 (태평동)1층
SCF0525,1,돼지삼겹살(냉동),물품,단가계약,제한경쟁,적격심사제,Y,해군군수사령부,ZD00289,해군군수사령부,ZD00289,87.995,11945,12000,56280000,2024-01-16,10:30:00,개찰완료,10512,88.006,2024-01-16,제일F&B,김성준,김성준,486-72-00496,"경상남도 창원시 진해구 충장로110 (충무동), 3층 B호"
SCF0524,1,돼지등뼈(냉동),물품,단가계약,제한경쟁,적격심사제,Y,해군군수사령부,ZD00289,해군군수사령부,ZD00289,87.995,3911,3900,37160000,2024-01-16,10:30:00,개찰완료,3442,88.014,2024-01-16,주식회사 금오식품,문기윤,조은숙,639-87-00231,경상남도 창원시 진해구 명제로484번길14(제덕동)
SCF0526,1,돼지등갈비(냉동),물품,단가계약,제한경쟁,적격심사제,Y,해군군수사령부,ZD00289,해군군수사령부,ZD00289,87.995,11082,11000,49270000,2024-01-16,10:30:00,개찰완료,9765,88.113,2024-01-16,더클래식,임은미,임은미,553-95-00403,경상남도 김해시 칠산로307-14 (화목동)
SCF0519,1,단무지,물품,단가계약,제한경쟁,적격심사제,Y,해군군수사령부,ZD00289,해군군수사령부,ZD00289,87.995,6336,6254,9512000,2024-01-16,10:30:00,개찰완료,5710,90.114,2024-01-16,영진식자재,권영희,권영희,612-19-25709,경상남도 창원시 진해구 조천북로62-0 (경화동) 101호
SCF0520,1,카스타드 ,물품,단가계약,제한경쟁,적격심사제,Y,해군군수사령부,ZD00289,해군군수사령부,ZD00289,87.995,345,343,9758636,2024-01-16,10:30:00,개찰완료,304,88.022,2024-01-16,행복유통,이윤영,강문정,822-01-01522,경상남도 창원시 진해구 태평로48번길2-0 (태평동)1층
HCL0008,1,24년 간부식당 식자재,물품,총액계약,제한경쟁,적격심사제,Y,공군사관학교,7002962,공군사관학교,7002962,87.995,81609082,82388050,74939409,2024-01-16,10:30:00,개찰완료,72493245,88.829,2024-01-16,주식회사푸드라인,박수식,박수식,301-81-95243,충청북도 청주시 흥덕구 덕암로113번길 32()
HDC0002,1,23-용-3 광주권 임대프린터 용역,용역,총액계약,제한경쟁,적격심사제,Y,공군제1전투비행단,ZD00173,공군제1전투비행단,ZD00173,87.745,48681483,48382352,44863636,2024-01-16,10:30:00,개찰완료,43428000,89.208,2024-01-16,(주)우정오에이,양근선,양근선,408-81-68483,광주광역시 서구 내방로350번길2-0 (화정동) 2층
HDN0001,1,24년도 음식물류 폐기물 처리용역,용역,총액계약,제한경쟁,적격심사제,Y,공군제18전투비행단,ZD00187,공군제18전투비행단,ZD00187,87.995,83043157,82800000,75272727,2024-01-16,13:00:00,개찰완료,73090000,88.014,2024-01-16,강릉청소용역,홍현기,홍현기,443-09-01403,"강원특별자치도 강릉시 강변로670번길16-0, 가동 1호(두산동)"
LBB0001,1,재고번호미입력품목,물품,단가계약,일반경쟁,적격심사제,Y,육군제7789부대,ZD00074,육군제7789부대,ZD00074,82.995,5429,5400,417272727,2024-01-16,10:30:00,개찰완료,4510,83.076,2024-01-16,아라푸드,박귀희,박귀희,679-79-00286,부산광역시 사상구 새벽시장로103번길35 (감전동)
LBB0002,1,음료(우유),물품,단가계약,제한경쟁,적격심사제,Y,육군제7789부대,ZD00074,육군제7789부대,ZD00074,82.995,2403,2400,25890909,2024-01-16,10:30:00,개찰완료,1995,82.999,2024-01-25,웰루츠,조영중,조영중,188-75-00083,경기도 용인시 처인구 모현읍 포은대로896-0
LDH0011,1,폐합성수지(폐염화비닐수지류제외) 위탁처리 용역,용역,단가계약,제한경쟁,적격심사제,Y,제2879부대,ZD00347,제2879부대,ZD00347,84.245,372220,372000,100181818,2024-01-16,13:30:00,개찰완료,313705,84.279,2024-01-18,주식회사엘킹덤,김인혜,김인혜,163-86-01041,경상남도 김해시 생림면 봉림리272
LMR0007,1,24년 음식물쓰레기 위탁처리 용역,용역,총액계약,제한경쟁,적격심사제,Y,제5군단사령부,ZD00009,제5군단사령부,ZD00009,84.245,163880436,163645350,148768500,2024-01-16,10:30:00,개찰완료,138124850,84.283,2024-01-16,사계절환경,최원희,최원희,534-96-01368,"경기도 안산시 단원구 광덕2로50-3, 316호 (초지동)"
LMR0008,1,주거시설 액화석유가스(LPG)공급 (5년),물품,총액계약,일반경쟁,적격심사제,Y,제5군단사령부,ZD00009,제5군단사령부,ZD00009,82.995,868654503,868477400,789524909,2024-01-16,10:30:00,개찰완료,725475413,83.517,2024-01-16,철원가스,한재형,한재형,127-27-62574,강원특별자치도 철원군 갈말읍 갈말로366
LMU0001,1,`24-1차 부대조달 경축특식(설날),물품,단가계약,제한경쟁,적격심사제,Y,6112부대,ZD01187,6112부대,ZD01187,87.995,2946,2940,14625164,2024-01-16,11:00:00,개찰완료,2596,88.121,2024-01-16,(주)조이푸드,김영식,음현철,129-86-10176,"경기도 성남시 중원구 사기막골로105번길25, 611호 (중앙인더스피아2차, 상대원동)"
LNF0002,1,24년 음식물쓰레기 처리용역,용역,총액계약,일반경쟁,적격심사제,Y,제1보병사단,ZD00049,제1보병사단,ZD00049,80.495,789452794,789819800,718018000,2024-01-16,10:30:00,개찰완료,635520980,80.501,2024-01-17,부자농장,김승규,김승규,233-96-00092,경기도 연천군 미산면 동이리274-1
LQG0001,1,재고번호미입력품목,용역,단가계약,제한경쟁,적격심사제,Y,육군 52보병사단,ZD00273,육군 52보병사단,ZD00273,84.245,169,170,70163636,2024-01-16,10:30:00,개찰완료,142,84.374,2024-01-16,천성환경,신정훈,김남경,626-39-00419,경기도 부천시 부일로326-0 (중동) 2층 1-(722)호
SCF0007,1,순살햄,물품,단가계약,제한경쟁,적격심사제,Y,해군군수사령부,ZD00289,해군군수사령부,ZD00289,87.995,13017,12941,33600000,2024-01-16,10:30:00,개찰완료,11465,88.074,2024-01-16,키즈앤하우스,조용호,조용호,789-15-02084,경상남도 양산시 덕계로80-0 (덕계동)
SCF0008,1,포장족발(슬라이스),물품,단가계약,제한경쟁,적격심사제,Y,해군군수사령부,ZD00289,해군군수사령부,ZD00289,87.995,8059,8088,77475000,2024-01-16,10:30:00,개찰완료,7095,88.034,2024-01-16,주식회사 푸드앤하우스,김형석,김형석,398-88-01020,경상남도 양산시 평산회야로9-2(평산동)
