구분,명칭,주관부서,제정호수,재정일자,개정호수,개정일자,비고
고시,국방 연구개발 사업 중소기업자 우선선정 품목지정 제도 운영에 관한 고시(구:무기체계 및 핵심기술 연구개발단계 중소기업자 우선선정 품목지정 제도 운영에 관한 고시),방산일자리과,2010-01,2010-01-28,2022-10,2020-05-14,
고시,방위산업 이차보전사업 운영규정,방산일자리과,2017-08,2017-12-18,2022-02,2020-05-21,
고시,감항인증 기술 자료의 관리·유지에 관한 권한 위탁기관 지정,인증기획과,2019-10,2019-11-12,,,
고시,방위산업 실태조사 업무 위탁고시,방위산업발전TF,2021-03,2021-05-10,2021-10,2021-11-23,
고시,국가연구개발성과 범부처 이어달리기 프로젝트 공통운영지침,기술정책과,2021-04,2021-06-07,,,
고시,방위산업 국가정책사업 지정 등에 관한 고시,방위산업발전TF,2021-05,2021-06-17,,,
고시,국방연구개발사업 출연금의 지급사용 및 관리에 관한 고시,방위사업정책과,2021-06,2021-07-22,2021-09,2021-11-23,
고시,방산혁신클러스터 사업 공통 운영요령,방산일자리과,2021-08,2021-11-02,2022-11,2022-12-30,
고시,방산기술 자금 관리규정,방산정책과,2022-01,2022-03-22,2022-05,2022-07-21,
고시,방산혁신기업 100 프로젝트 운영규정,방위산업고도화지원과,2022-03,2022-06-02,,,
