입찰공고번호,입찰공고차수,입찰공고명,업무구분명,계약체결형태명,계약체결방법명,낙찰자결정방법명,적격심사여부,공고기관명,공고기관코드,수요기관명,수요기관코드,낙찰하한율,예정가격,기초금액,추정가격,개찰일자,개찰시각,개찰결과구분명,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체사업자등록번호,최종낙찰업체주소
LKS0004,1,대형 전광판 및 중계시스템 임차용역,용역,총액계약,2단계경쟁(동시),최저가격제,N,육군인사사령부,ZD00788,육군인사사령부,ZD00788,0,,97087378,0,2016-02-03,10:00:00,유찰,,,,,,,,
HCC0002,1,스위치  칼날형 등 9품목,물품,총액계약,일반경쟁,최저가격제,N,해군제1정비대대,Z023413,해군제1정비대대,Z023413,0,7022378,7111000,0,2016-01-28,13:30:00,개찰완료,5524000,78.662,2016-01-28,(주)동건,윤영현,윤영현,215-86-62413,강원특별자치도 동해시 전천로245-2 (북평동)
LDH0062,1,K1채널씰등12종구매,물품,총액계약,제한경쟁,적격심사제,Y,제2879부대,ZD00347,제2879부대,ZD00347,87.995,13765438,13753000,0,2016-02-02,11:30:00,개찰완료,12178000,88.467,2016-02-02,에스투 (S2) 테크,박성신,박성신,602-09-68022,부산광역시 영도구 절영로101번길 3-1
LDH0063,1,K1베어링등11종구매,물품,총액계약,제한경쟁,적격심사제,Y,제2879부대,ZD00347,제2879부대,ZD00347,87.995,,13038000,0,2016-02-02,11:30:00,유찰,,,,,,,,
LDH0063,2,K1베어링등11종구매,물품,총액계약,제한경쟁,적격심사제,Y,제2879부대,ZD00347,제2879부대,ZD00347,87.995,13199793,13038000,0,2016-02-12,11:30:00,개찰완료,12516000,94.819,2016-02-12,덕산베아링,신복승,신복승,605-01-99630,부산광역시 부산진구 서전로9번길 38()
LDH0064,1,자주발칸 케이블조립체등2종구매,물품,총액계약,제한경쟁,적격심사제,Y,제2879부대,ZD00347,제2879부대,ZD00347,87.995,,35569000,0,2016-02-02,11:30:00,유찰,,,,,,,,
LDH0064,2,자주발칸 케이블조립체등2종구매,물품,총액계약,제한경쟁,적격심사제,Y,제2879부대,ZD00347,제2879부대,ZD00347,87.995,35922384,35569000,0,2016-02-12,11:30:00,개찰완료,31700000,88.245,2016-02-12,주식회사 애덱스,안영현,안영현,209-81-49235,경기도 군포시 엘에스로13-0 (당정동). 606호 (신일아이티유토지식산업센터)
LDH0065,1,K1링등29종구매,물품,총액계약,제한경쟁,적격심사제,Y,제2879부대,ZD00347,제2879부대,ZD00347,87.995,,17874000,0,2016-02-02,11:30:00,유찰,,,,,,,,
LDH0065,2,K1링등29종구매,물품,총액계약,제한경쟁,적격심사제,Y,제2879부대,ZD00347,제2879부대,ZD00347,87.995,,17874000,0,2016-02-12,11:30:00,유찰,,,,,,,,
HDT0002,1,생활쓰레기 위탁처리 용역,용역,총액계약,제한경쟁,적격심사제,Y,공군작사근무지원단,ZD00282,공군작사근무지원단,ZD00282,87.745,,52000000,0,2016-02-02,13:00:00,유찰,,,,,,,,
MHD0005,1,국방우주력 발전을 위한 민·군 기술협력 방안 연구,용역,총액계약,협상에의한계약(서류),협상,N,방위사업청(운영지원과),1690000,방위사업청(운영지원과),1690000,,60000000,,0,2016-03-08,14:00:00,개찰완료,51000000,85,2016-03-11,사단법인 안보경영연구원,전건욱,,120-82-07415,"서울특별시 강남구 언주로527, 10층 (역삼동)"
LPH0025,1,핫바 구매,물품,단가계약,일반경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,82.995,688,679,0,2016-02-05,11:00:00,개찰완료,576,83.691,2016-02-05,(주)일화,김상균,손규홍,132-81-01004,경기도 구리시 벌말로96-0 (토평동)
LGR0004,1,16년 증식용 떡 및 케이크 구매,물품,총액계약,2단계경쟁(동시),최저가격제,N,제1288부대,ZD00348,제1288부대,ZD00348,0,261965275,258446601,0,2016-02-05,10:00:00,개찰완료,229900000,87.759,2016-02-05,소당식품,김용호,김용호,221-04-36059,강원도 춘천시 동내로103-13 (동내면)
LMS0054,1,1분기 식품검사 재료 구매,물품,총액계약,제한경쟁,최저가격제,N,제7789부대,ZD00074,제7789부대,ZD00074,0,14839605,14768000,0,2016-02-12,11:00:00,개찰완료,12940000,87.199,2016-02-12,랩피온,박웅,박웅,206-21-48010,"경기도 남양주시 순화궁로249, M동 8층 820호(별내동, 별내역 파라곤스퀘어)"
HDT0004,1,액화석유가스(LPG) 공급,물품,총액계약,제한경쟁,최저가격제,N,공군작사근무지원단,ZD00282,공군작사근무지원단,ZD00282,0,82471283,84300000,0,2016-02-15,11:00:00,개찰완료,63251400,76.695,2016-02-15,원진에너지주식회사,강수만,강수만,134-86-78329,경기도 안산시 단원구 대부동동1191
SCG0009,1,16년 해군지 제작 용역,용역,총액계약,2단계경쟁(동시),최저가격제,N,해군본부,1290326,해군본부,1290326,0,146237997,148800000,0,2016-02-17,11:00:00,개찰완료,142980000,97.772,2016-02-17,(주)대원문화사,김채수,이동순,218-81-09601,경기도 파주시 직지길356 (문발동)
LGP0050,2,조리병교육대 교육 재료,물품,총액계약,제한경쟁,적격심사제,Y,제5378부대,ZD00217,제5378부대,ZD00217,87.995,,95497488,0,2016-02-18,11:00:00,유찰,,,,,,,,
UMM0032,1,대전병원 병리재료 소모품 67종 구매,물품,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.995,65538038,65142800,0,2016-02-16,11:00:00,개찰완료,57887000,88.325,2016-02-16,아이비케이 주식회사,박창환,박창환,410-86-48942,"전라남도 나주시 교육길13, 디2동 503호(빛가람동, 스마트파크, 지식산업센터)"
HCL0003,1,16-014 쉽게 생각하고 쉽게 배우는 수영 등 143종,물품,총액계약,제한경쟁,적격심사제,Y,공군사관학교,7002962,공군사관학교,7002962,90,160102982,159599430,0,2016-02-12,10:30:00,개찰완료,144264300,90.107,2016-02-12,주식회사 지커뮤니케이션,권혁일,신영철,301-81-59005,"충청북도 청주시 서원구 1순환로1109, 303호(분평동, 호인리더스빌딩)"
LCN0007,1,00부대 간부식당 위탁관리 용역 업체 선정,용역,총액계약,2단계경쟁(동시),최저가격제,N,육군사관학교,1290305,육군사관학교,1290305,0,188686567,186240000,0,2016-02-22,10:00:00,개찰완료,182400000,96.668,2016-02-22,주식회사 리딩푸드시스템,김신환,정성진,211-88-23367,서울특별시 강남구 언주로153길10-5(신사동) 해담빌딩3층
UMM0034,1,대전병원 외과장비 소모품 5종 구매,물품,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.995,66199787,66943500,0,2016-02-16,11:00:00,개찰완료,58371095,88.174,2016-02-16,라바열융합기술,문홍진,임순택,128-15-78848,경기도 파주시 탄현면 필승로506 (301호)
UMM0033,1,대전병원 보장구 50종 구매,물품,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.995,81900417,82832750,0,2016-02-16,11:00:00,개찰완료,72086000,88.016,2016-02-16,주식회사 에스티앤지,임수진,임수진,107-86-64876,서울특별시 영등포구 양산로43-0 (양평동3가)우림 E-Biz Center 911호
LCF0020,1,아산화질소 1항목 구매(물품),물품,총액계약,일반경쟁,최저가격제,N,육군군수사령부,1290307,육군군수사령부,1290307,0,,12978000,0,2016-02-19,14:30:00,유찰,,,,,,,,
LCF0020,2,아산화질소 1항목 구매(물품),물품,총액계약,일반경쟁,최저가격제,N,육군군수사령부,1290307,육군군수사령부,1290307,0,12823125,12978000,0,2016-03-08,14:30:00,개찰완료,12801600,99.832,2016-03-08,단일시스켐 주식회사,장세훈,김성수,211-81-29514,서울특별시 강남구 논현로158길8-0 (신사동)
UMM0058,1,세척재료(세척제  용제) 구매,물품,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.995,81226854,82376000,0,2016-02-19,11:00:00,개찰완료,72367000,89.092,2016-02-19,주식회사 우석,이희학,이희학,615-81-71515,경상남도 김해시 한림면 장재로193
